vent,n,draft_rate,perf_mean,perf_median
0,3184,0.0,-2.0881419171435076,-1.6252037751653459
1,3183,0.00031416902293433867,-0.9170260558667762,-0.9038639959318195
2,3184,0.000628140703517588,-0.6680424817519702,-0.6645695605066663
3,3183,0.00031416902293433867,-0.504641513146424,-0.5092757163934001
4,3184,0.000314070351758794,-0.3707900878910631,-0.3661233695221125
5,3183,0.00031416902293433867,-0.2546429273764149,-0.24920168126335707
6,3184,0.000314070351758794,-0.14707813937798597,-0.14627819114453142
7,3183,0.000942507068803016,-0.04474423828022614,-0.04303274194121405
8,3183,0.0012566760917373547,0.05894866121800109,0.05710515143189349
9,3184,0.0037688442211055275,0.16574152384579663,0.16938256085017195
10,3183,0.0059692114357524344,0.2795921920423517,0.27927563935075855
11,3184,0.01256281407035176,0.4048229888149558,0.4005912325421676
12,3183,0.021049324536600692,0.545229517499276,0.5458587516386402
13,3184,0.02512562814070352,0.7163520627502031,0.7135333445002492
14,3183,0.036443606660383286,0.9518669148973326,0.9465114019035082
15,3183,0.049010367577756835,1.8782308749615517,1.4340844939112392
