vent,n,draft_rate,perf_mean,perf_median
0,3184,0.0,-2.39293653150124,-1.882336610654777
1,3183,0.0,-0.9910489567335613,-0.9711360343014961
2,3184,0.0,-0.6627528779106151,-0.6577726425452532
3,3183,0.0,-0.45888477414558126,-0.45587183759641464
4,3184,0.0,-0.3090856979386666,-0.3085263602479305
5,3183,0.00031416902293433867,-0.1847325363531783,-0.18676861238055467
6,3184,0.0,-0.07013330457312819,-0.07220751857457867
7,3183,0.0,0.03679963538381268,0.03939983129686951
8,3183,0.0012566760917373547,0.1383115256202155,0.13939902940764218
9,3184,0.000314070351758794,0.24176632128099623,0.24407915669136893
10,3183,0.0012566760917373547,0.34411610380736557,0.3449367857771788
11,3184,0.0021984924623115578,0.45114800156720375,0.44863123535858346
12,3183,0.005655042412818096,0.5744284569691359,0.5721816559801006
13,3184,0.007851758793969849,0.7224304960864564,0.7240278656745888
14,3183,0.031416902293433864,0.9163572435825814,0.9090269297874689
15,3183,0.1080741438894125,1.6492898348745688,1.2931110378402406
