vent,n,draft_rate,poolq_mean,poolq_median
0,3184,0.0018844221105527637,-0.5374556949758924,-0.540845743041802
1,3183,0.0006283380458686773,-0.4418260348164441,-0.4405244730289314
2,3184,0.00157035175879397,-0.340086920057144,-0.3392102048119324
3,3183,0.0006283380458686773,-0.263826389738825,-0.2634447974500972
4,3184,0.0021984924623115578,-0.2031399509728717,-0.20314633677329186
5,3183,0.0015708451146716933,-0.14569604707325318,-0.14530132221689993
6,3184,0.002512562814070352,-0.09168214558510053,-0.09170072161455947
7,3183,0.003770028275212064,-0.039558712607950304,-0.03979819177047499
8,3183,0.0053408733898837575,0.01293112278169013,0.01284340900579643
9,3184,0.007851758793969849,0.06748266933803906,0.06707762153543079
10,3183,0.00942507068803016,0.1266792227671263,0.12631020909189855
11,3184,0.008479899497487437,0.19017104107597427,0.1892829845335549
12,3183,0.010995915802701853,0.26534137214250086,0.2643666222492674
13,3184,0.021670854271356784,0.35800520511053396,0.3569891741866027
14,3183,0.0333019164310399,0.47584987167328774,0.4729235191387195
15,3183,0.046497015394282123,0.5839133770171703,0.5877585341717732
