vent,n,draft_rate,poolq_mean,poolq_median
0,3184,0.0,-0.681351959474224,-0.6861719352361209
1,3183,0.0006283380458686773,-0.5680967062727297,-0.5654875293299252
2,3184,0.000628140703517588,-0.445350691568021,-0.4446620518479002
3,3183,0.000942507068803016,-0.3460978873687341,-0.34573219580112485
4,3184,0.002512562814070352,-0.26770737948406775,-0.26773862991795827
5,3183,0.001885014137606032,-0.19386009436079135,-0.19240117293347342
6,3184,0.002512562814070352,-0.12939034192826973,-0.12948239603476344
7,3183,0.004398366321080742,-0.06320045374143796,-0.06346108147727869
8,3183,0.0059692114357524344,0.00871115580126208,0.008719181568612969
9,3184,0.003454773869346734,0.08189854124950179,0.08163457237925921
10,3183,0.004398366321080742,0.16138356315005448,0.1604203189076673
11,3184,0.010678391959798994,0.25552777849725433,0.25596188261752145
12,3183,0.011624253848570531,0.34816487904798843,0.3462686866928991
13,3184,0.02763819095477387,0.46634053666922193,0.4629652462392708
14,3183,0.032359409362236885,0.6207578769825127,0.6196786273680696
15,3183,0.0486961985548225,0.7589755067618217,0.7644152072375484
