vent,n,draft_rate,poolq_mean,poolq_median
0,61,0.04918032786885246,-0.5594451136421791,-0.5543362107359115
1,123,0.04065040650406504,-0.46929152177434363,-0.46567407645929715
2,301,0.019933554817275746,-0.39401193517464994,-0.3927991158872145
3,576,0.026041666666666668,-0.3134780256784157,-0.30945210019573544
4,1200,0.030833333333333334,-0.23272754536212864,-0.23029051497998426
5,2103,0.020446980504041846,-0.15346867686048937,-0.15183114182244586
6,3019,0.02285525008280888,-0.07530758390505088,-0.07476707954470874
7,3706,0.022126281705342688,0.0038676423257017994,0.0040549103537126895
8,3829,0.0232436667537216,0.08210357971208881,0.0818387904613444
9,3149,0.020641473483645603,0.16078405345722674,0.15964712214824406
10,1951,0.021014864172219375,0.24074294296653914,0.23950172708080958
11,1130,0.023893805309734513,0.3200069761834069,0.3178137032736078
12,641,0.0218408736349454,0.39705287281358703,0.39566066676546874
13,348,0.034482758620689655,0.48033335830683876,0.47956399253811877
14,170,0.01764705882352941,0.5605539830188023,0.5576237719933301
15,234,0.01282051282051282,0.6684468655748411,0.6836413829085851
