vent,n,draft_rate,poolq_mean,poolq_median
0,1191,0.041981528127623846,-0.33296190796312974,-0.3023689671324061
1,1190,0.02857142857142857,-0.1877040045616173,-0.18579178062455876
2,1191,0.028547439126784216,-0.12978572513866105,-0.1289363332961889
3,1190,0.031932773109243695,-0.08713006091754799,-0.086985570911983
4,1190,0.025210084033613446,-0.04811462793744932,-0.04831567400333955
5,1191,0.02434928631402183,-0.01042388950330954,-0.009995150437038646
6,1190,0.03361344537815126,0.023587505675274636,0.02357487577461965
7,1190,0.03277310924369748,0.05416670771240974,0.053921374778334794
8,1191,0.028547439126784216,0.08321575980931474,0.08339025765446792
9,1190,0.02100840336134454,0.11220367343192125,0.11181045548506202
10,1191,0.018471872376154493,0.14172429291536565,0.14163625930840842
11,1190,0.021848739495798318,0.17326464791240914,0.17372311987181965
12,1190,0.024369747899159664,0.21139335218924174,0.21108710819117
13,1191,0.020990764063811923,0.25900157346007535,0.25787364550035574
14,1190,0.025210084033613446,0.3247891221618379,0.32144679346609817
15,1190,0.024369747899159664,0.48788866804336806,0.46268205706166143
