vent,n,draft_rate,poolq_mean,poolq_median
0,533,0.0975609756097561,-0.32856681202289983,-0.3021419094893241
1,532,0.06015037593984962,-0.18843341763877205,-0.1876343237785824
2,532,0.05451127819548872,-0.1324871108251979,-0.1320838248037603
3,532,0.05827067669172932,-0.0927983486987491,-0.09295516735526456
4,532,0.06578947368421052,-0.05455993647046219,-0.054402582699247436
5,532,0.05451127819548872,-0.017344580934369642,-0.017156191866034776
6,532,0.06954887218045112,0.016075081765862972,0.01643936179373135
7,532,0.07330827067669173,0.04684156476233605,0.047130769247440155
8,533,0.06941838649155722,0.07484076764084785,0.07430955713591553
9,532,0.04887218045112782,0.10469263858686814,0.1036468917051922
10,532,0.05075187969924812,0.13715182075884924,0.13786064595509234
11,532,0.046992481203007516,0.17013068594962966,0.1698909670942219
12,532,0.05827067669172932,0.2086520059328482,0.20831658423572555
13,532,0.046992481203007516,0.2578583605655853,0.2570688166241817
14,532,0.05451127819548872,0.32559673686490986,0.32335118911984007
15,532,0.05639097744360902,0.4920575833559492,0.46640316689633976
