vent,n,draft_rate,poolq_mean,poolq_median
0,1409,0.028388928317955996,-0.3252143529409423,-0.32302007407122496
1,1409,0.0227111426543648,-0.2062567134282579,-0.20498903002294627
2,1409,0.0234208658623137,-0.14479279594912053,-0.14456119121173536
3,1409,0.0255500354861604,-0.1005748029387403,-0.10035722566214768
4,1409,0.0220014194464159,-0.0625233608250744,-0.062000222610534554
5,1408,0.019176136363636364,-0.028583563346700105,-0.02828594325120981
6,1409,0.0198722498225692,0.00225514108592608,0.0025154708367670945
7,1409,0.027679205110007096,0.032485234036172955,0.0328465721520449
8,1409,0.0241305890702626,0.06052922721885561,0.060465925927180704
9,1409,0.0227111426543648,0.08966828332455185,0.08987677609637604
10,1408,0.019886363636363636,0.12053980748447014,0.12072923473952277
11,1409,0.016323633782824698,0.15263468995345203,0.1520331453092576
12,1409,0.0234208658623137,0.1899039840568382,0.18939704473455235
13,1409,0.0234208658623137,0.23921640874663036,0.23856818271823185
14,1409,0.0234208658623137,0.31037005350103336,0.3079887728867411
15,1408,0.022727272727272728,0.48211372281420234,0.4535269330298891
