vent,n,draft_rate,perf_mean,perf_median
0,5181,0.0,-1.4768907935418112,-1.3904573197415266
1,5180,0.00019305019305019305,-1.3277828795867639,-1.3240038954197606
2,5181,0.00019301293186643504,-0.9747696285796049,-0.951410395938748
3,5180,0.0007722007722007722,-0.6881332246274331,-0.6842221885047063
4,5181,0.0017371163867979154,-0.5028244047829099,-0.5039688745720097
5,5180,0.003667953667953668,-0.3503576795561126,-0.34974581771573243
6,5181,0.003860258637328701,-0.21537971987229426,-0.21346091521511398
7,5180,0.006370656370656371,-0.0892546048449065,-0.09035300988609006
8,5180,0.007335907335907336,0.03597804561700019,0.035594616937100615
9,5181,0.009843659525188187,0.1601548018073024,0.1627867171055624
10,5180,0.016216216216216217,0.2868949926872928,0.28698992307781884
11,5181,0.01910828025477707,0.4281547366792433,0.42763324317447604
12,5180,0.028764478764478765,0.5887883783422581,0.5891696063637148
13,5181,0.03628643119088979,0.7916939491710351,0.7864836774472509
14,5180,0.04671814671814672,1.0851770703482777,1.0702293812934136
15,5180,0.03822393822393822,2.2477181798759096,1.7519731098870546
