vent,n,draft_rate,perf_mean,perf_median
0,2823,0.0007084661707403471,-2.221193325974225,-1.9762133930832977
1,2822,0.0007087172218284905,-1.285155787054097,-1.2789728970209129
2,2822,0.0007087172218284905,-0.934178605858198,-0.929284663716474
3,2822,0.001771793054571226,-0.6869676489460457,-0.6875481348089297
4,2822,0.001417434443656981,-0.493897126105186,-0.49247915479559157
5,2822,0.002126151665485471,-0.3215851556851644,-0.3234140930819003
6,2822,0.0024805102763997165,-0.1638538909290639,-0.1677373329853135
7,2822,0.0024805102763997165,-0.01652400000968134,-0.015199973885404543
8,2823,0.0060219624512929506,0.1289214119242518,0.13159233763996778
9,2822,0.008504606661941885,0.2734220708329833,0.27088241854075
10,2822,0.011693834160170093,0.4182193922575317,0.41465403490739244
11,2822,0.015237420269312544,0.5726004531088554,0.5692439548190352
12,2822,0.02303330970942594,0.747271703550026,0.743184523514575
13,2822,0.03614457831325301,0.954190802817442,0.9508679046306023
14,2822,0.07335223245924875,1.2226764094946558,1.219301342988932
15,2822,0.20411055988660523,1.8067947111450329,1.678784111055968
