vent,n,draft_rate,poolq_mean,poolq_median
0,2823,0.0,-0.9713269133371749,-0.9586437015527974
1,2822,0.001417434443656981,-0.7184892420465985,-0.7154165422640926
2,2822,0.0007087172218284905,-0.5763200476973408,-0.5762178632763646
3,2822,0.003543586109142452,-0.46339171368642773,-0.4639222006170655
4,2822,0.002126151665485471,-0.3617160538313343,-0.3602763460863156
5,2822,0.004961020552799433,-0.27398592336981786,-0.27421075907524967
6,2822,0.004252303330970942,-0.18447084183732662,-0.18420551878491026
7,2822,0.006732813607370659,-0.09638617256539163,-0.09639917320266342
8,2823,0.009564293304994687,-0.003270449246614251,-0.0034698156380392324
9,2822,0.011339475549255847,0.09715247700083304,0.0963093848494061
10,2822,0.018072289156626505,0.2103858769913823,0.20983958000713973
11,2822,0.02303330970942594,0.33729507597174563,0.3380297962931435
12,2822,0.03472714386959603,0.47153091388742674,0.46924643528438614
13,2822,0.05669737774627923,0.6336505122424602,0.6317677239943169
14,2822,0.08398299078667612,0.8248609627763087,0.8239999474146515
15,2822,0.1293408929836995,1.1291216057858764,1.1060319781527288
