bin,n,selection_rate,mean_team_mean,arm,lambda
0,350,0.0,0.25011229884922836,lambda_0,0.0
1,350,0.0,0.29417054429278705,lambda_0,0.0
2,350,0.0,0.3266000090359248,lambda_0,0.0
3,350,0.002857142857142857,0.35280348157017477,lambda_0,0.0
4,350,0.0,0.3802965492686497,lambda_0,0.0
5,350,0.02,0.4083751173974871,lambda_0,0.0
6,350,0.022857142857142857,0.4344167430728941,lambda_0,0.0
7,350,0.02857142857142857,0.46509606075496385,lambda_0,0.0
8,350,0.04,0.5067462864406592,lambda_0,0.0
9,350,0.06857142857142857,0.5493736638499177,lambda_0,0.0
10,350,0.11714285714285715,0.5979690919647006,lambda_0,0.0
11,350,0.16,0.6338621059111318,lambda_0,0.0
12,350,0.21428571428571427,0.6606941177299466,lambda_0,0.0
13,350,0.25142857142857145,0.6807366842333012,lambda_0,0.0
14,350,0.3171428571428571,0.7109433411548033,lambda_0,0.0
15,350,0.35714285714285715,0.748151346061253,lambda_0,0.0
