bin,n,selection_rate,mean_team_mean,arm,lambda
0,350,0.017142857142857144,0.25011229884922836,lambda_high,1.0
1,350,0.03142857142857143,0.29417054429278705,lambda_high,1.0
2,350,0.05142857142857143,0.3266000090359248,lambda_high,1.0
3,350,0.05714285714285714,0.35280348157017477,lambda_high,1.0
4,350,0.08,0.3802965492686497,lambda_high,1.0
5,350,0.11142857142857143,0.4083751173974871,lambda_high,1.0
6,350,0.13142857142857142,0.4344167430728941,lambda_high,1.0
7,350,0.16857142857142857,0.46509606075496385,lambda_high,1.0
8,350,0.16285714285714287,0.5067462864406592,lambda_high,1.0
9,350,0.16857142857142857,0.5493736638499177,lambda_high,1.0
10,350,0.17142857142857143,0.5979690919647006,lambda_high,1.0
11,350,0.1457142857142857,0.6338621059111318,lambda_high,1.0
12,350,0.13142857142857142,0.6606941177299466,lambda_high,1.0
13,350,0.08571428571428572,0.6807366842333012,lambda_high,1.0
14,350,0.06857142857142857,0.7109433411548033,lambda_high,1.0
15,350,0.017142857142857144,0.748151346061253,lambda_high,1.0
