lambda,t,loglik,neg_loglik,mean_topk_overlap,mean_topk_recall,mean_sum_p_on_drafted,per_season_overlap
2.0,1.0,-8868.679929959848,8868.679929959848,14.181818181818182,0.13124640114827346,0.06593869347076507,"[29, 19, 19, 14, 10, 12, 12, 12, 17, 10, 2]"
2.5,1.0,-8868.842573681899,8868.842573681899,14.545454545454545,0.13519920651284353,0.06529526892038601,"[30, 21, 19, 14, 10, 12, 12, 12, 17, 10, 3]"
1.5,1.0,-8869.156266803546,8869.156266803546,14.272727272727273,0.13197367387554618,0.06659057771780566,"[30, 19, 19, 14, 10, 12, 12, 12, 17, 10, 2]"
3.0,1.0,-8869.62561457521,8869.62561457521,14.545454545454545,0.1366693278947296,0.06466081348307053,"[29, 20, 19, 14, 10, 12, 12, 12, 17, 11, 4]"
1.0,1.0,-8870.290523898177,8870.290523898177,14.545454545454545,0.13412277356812413,0.06725035919872062,"[31, 21, 18, 14, 11, 11, 13, 12, 17, 10, 2]"
0.5,1.0,-8872.101986840917,8872.101986840917,14.545454545454545,0.13384234121222008,0.06791742058398274,"[31, 23, 18, 13, 10, 11, 13, 12, 17, 10, 2]"
0.5,3.0,-9124.501512341874,9124.501512341874,14.272727272727273,0.13197367387554618,0.03464062680354904,"[30, 19, 19, 14, 10, 12, 12, 12, 17, 10, 2]"
1.0,3.0,-9129.550731744359,9129.550731744359,14.545454545454545,0.1366693278947296,0.03440940858605694,"[29, 20, 19, 14, 10, 12, 12, 12, 17, 11, 4]"
1.5,3.0,-9135.087415564587,9135.087415564587,14.090909090909092,0.1327686649505884,0.03418508949974981,"[26, 20, 19, 14, 12, 12, 11, 11, 15, 11, 4]"
2.0,3.0,-9141.09559973799,9141.09559973799,13.454545454545455,0.1273119368429169,0.033967553894616025,"[23, 21, 17, 12, 11, 14, 11, 10, 13, 12, 4]"
2.5,3.0,-9147.559787271624,9147.559787271624,12.818181818181818,0.12177541848933539,0.03375667862603381,"[20, 18, 16, 15, 8, 15, 10, 13, 11, 11, 4]"
3.0,3.0,-9154.464940446262,9154.464940446262,12.727272727272727,0.12049693673510208,0.03355233413956323,"[21, 17, 16, 13, 9, 13, 12, 11, 12, 13, 3]"
0.5,10.0,-9352.282022480384,9352.282022480384,14.272727272727273,0.1356683197620079,0.027151343566131213,"[26, 20, 19, 14, 13, 13, 11, 10, 14, 12, 5]"
1.0,10.0,-9358.242829048306,9358.242829048306,12.545454545454545,0.11936002505343334,0.0270087321708456,"[22, 14, 16, 13, 10, 12, 13, 11, 12, 11, 4]"
1.5,10.0,-9364.66069389719,9364.66069389719,10.909090909090908,0.10432328648598012,0.026870881009079473,"[15, 11, 14, 12, 13, 9, 12, 11, 9, 11, 3]"
