min_minutes,season,h_sort_empirical,n_players,n_teams
0,2011,0.0788162751519,5339,495
0,2012,0.0908931752912,5376,506
0,2013,0.0962012318552,5622,542
0,2014,0.0778170098507,8160,627
0,2015,0.0749156495311,8301,638
0,2016,0.076574749143,8438,640
0,2017,0.0896906816151,8674,641
0,2018,0.0787705148076,8724,658
0,2019,0.0730303111064,8649,652
0,2020,0.0855086518517,8770,663
0,2021,0.0820769585645,6840,493
20,2011,0.104853645346,4680,491
20,2012,0.103380196699,4716,501
20,2013,0.117906621253,4901,527
20,2014,0.0997854636312,5998,623
20,2015,0.113559487095,6030,635
20,2016,0.0997188449383,6010,634
20,2017,0.0950840070528,6101,634
20,2018,0.106957349453,6169,653
20,2019,0.109675047159,6073,644
20,2020,0.106664357215,6080,657
20,2021,0.0985824198656,5422,493
