athlete_id,athlete_display_name,season,team_id,minutes,ppm,points,team_short_display_name,Y_draft,lost_at_min20_drop,zeroed_at_min20_ppm0
51323,Jordan Clarkson,2013,142,0,,0,Missouri,1,True,True
56359,Rodney Hood,2013,150,0,,0,Duke,1,True,True
56965,P.J. Hairston,2014,153,0,,0,North Carolina,1,True,True
57136,Abdel Nader,2014,66,0,,0,Iowa State,1,True,True
61438,Richaun Holmes,2014,2377,0,,0,McNeese,1,True,True
66138,Devon Hall,2014,258,0,,0,Virginia,1,True,True
2991143,Ricky Ledo,2014,2507,0,,0,Providence,1,True,True
66205,George King,2015,38,0,,0,Colorado,1,True,True
66915,Semi Ojeleye,2015,2567,0,,0,SMU,1,True,True
3134880,Kadeem Allen,2015,12,0,,0,Arizona,1,True,True
3147657,Mikal Bridges,2015,222,0,,0,Villanova,1,True,True
3914283,Chimezie Metu,2015,30,0,,0,USC,1,True,True
3917376,Jaylen Brown,2015,25,0,,0,California,1,True,True
3917378,Ivan Rabb,2015,25,0,,0,California,1,True,True
56933,Branden Dawson,2016,127,0,,0,Michigan St,1,True,True
66915,Semi Ojeleye,2016,2567,0,,0,SMU,1,True,True
67814,Nigel Williams-Goss,2016,2250,0,,0,Gonzaga,1,True,True
67845,Derrick White,2016,38,0,,0,Colorado,1,True,True
3133817,Eric Paschall,2016,222,0,,0,Villanova,1,True,True
3912295,Grant Riller,2016,232,0,,0,Charleston,1,True,True
3912332,Justin Patton,2016,156,0,,0,Creighton,1,True,True
62208,Tyrone Wallace,2017,25,0,,0,California,1,True,True
3138161,Cody Martin,2017,2440,0,,0,Nevada,1,True,True
3917376,Jaylen Brown,2017,25,0,,0,California,1,True,True
4065660,Mfiondu Kabengele,2017,52,0,,0,Florida St,1,True,True
4065732,De'Andre Hunter,2017,258,0,,0,Virginia,1,True,True
4065836,Omari Spellman,2017,222,0,,0,Villanova,1,True,True
4066490,Kostas Antetokounmpo,2017,2168,0,,0,Dayton,1,True,True
4066731,Jalen McDaniels,2017,21,0,,0,San Diego St,1,True,True
4080610,Hamidou Diallo,2017,96,0,,0,Kentucky,1,True,True
3138201,Marial Shayok,2018,66,0,,0,Iowa State,1,True,True
3906665,Brandon Clarke,2018,2250,0,,0,Gonzaga,1,True,True
4066436,De'Anthony Melton,2018,30,0,,0,USC,1,True,True
4066446,Elijah Hughes,2018,183,0,,0,Syracuse,1,True,True
4277850,RaiQuan Gray,2018,52,0,,0,Florida St,1,True,True
4278355,Obi Toppin,2018,2168,0,,0,Dayton,1,True,True
4065672,Dewan Hernandez,2019,2390,0,,0,Miami,1,True,True
