season,rho_star_drop,rho_star_ppm_zero,rho_star_delta,h_sort_emp_drop,h_sort_emp_ppm_zero,h_sort_emp_delta,h_sort_emp_ppm_zero_bracket_json,n_players_drop,n_players_ppm_zero
2011,0,0.018359375,0.018359375,0.0657792161227,0.0630989945472,-0.00268022157546,0.0937228503675,4086,5455
2012,0,0.018359375,0.018359375,0.0708616919153,0.0691149847922,-0.00174670712307,0.0943623726968,4097,5492
2013,0,0.102734375,0.102734375,0.0619796193455,0.0535797104428,-0.00839990890266,0.107730801305,4135,5801
2014,0,0.569140625,0.569140625,0.05656051514,0.0552027352587,-0.00135777988135,0.169406389126,4248,10633
2015,0,0.594140625,0.594140625,0.0611334345493,0.0834732457335,0.0223398111841,0.182557256684,4270,10938
2016,0,0.575390625,0.575390625,0.0590217879582,0.0791518135609,0.0201300256027,0.177663534994,4234,10983
2017,0,0.608203125,0.608203125,0.0650292644247,0.0616656364527,-0.00336362797204,0.188780030635,4292,10998
2018,0,0.644921875,0.644921875,0.0627630266884,0.0657995803188,0.00303655363031,0.200951482094,4246,11447
2019,0,0.632421875,0.632421875,0.0670950686799,0.0703893368138,0.00329426813391,0.200278220566,4204,10972
2020,0,0.783984375,0.783984375,0.063296002147,0.0498150139265,-0.0134809882205,0.252946223247,4219,13212
2021,0,0.699609375,0.699609375,0.0727456343155,0.0665094782431,-0.00623615607241,0.217099042797,4275,8858
