minutes,ppm,role,perf
0,,filtered_out,
0,,filtered_out,
0,,filtered_out,
0,,filtered_out,
0,,filtered_out,
0,,filtered_out,
0,,filtered_out,
0,,filtered_out,
0,,filtered_out,
0,,filtered_out,
0,,filtered_out,
5,0,filtered_out,
0,,filtered_out,
0,,filtered_out,
0,,filtered_out,
0,,filtered_out,
18,0.222222222222,filtered_out,
9,0.111111111111,filtered_out,
11,0,filtered_out,
18,0.111111111111,filtered_out,
13,0.153846153846,filtered_out,
13,0,filtered_out,
1,0,filtered_out,
6,0.166666666667,filtered_out,
7,0.285714285714,filtered_out,
0,,filtered_out,
9,0,filtered_out,
0,,filtered_out,
5,0,filtered_out,
3,1.33333333333,filtered_out,
0,,filtered_out,
9,0,filtered_out,
11,0,filtered_out,
16,0,filtered_out,
4,0.5,filtered_out,
5,0,filtered_out,
0,,filtered_out,
5,0,filtered_out,
0,,filtered_out,
7,0.285714285714,filtered_out,
18,0.222222222222,filtered_out,
11,0,filtered_out,
12,0,filtered_out,
19,0.157894736842,filtered_out,
2,0,filtered_out,
10,0,filtered_out,
17,0.117647058824,filtered_out,
2,0,filtered_out,
0,,filtered_out,
14,0.642857142857,filtered_out,
10,0.2,filtered_out,
13,0.153846153846,filtered_out,
12,0,filtered_out,
5,1,filtered_out,
6,0,filtered_out,
4,0,filtered_out,
16,0.1875,filtered_out,
0,,filtered_out,
0,,filtered_out,
8,0.5,filtered_out,
0,,filtered_out,
0,,filtered_out,
3,0,filtered_out,
0,,filtered_out,
18,0.166666666667,filtered_out,
5,0.2,filtered_out,
3,0,filtered_out,
5,0,filtered_out,
5,0,filtered_out,
18,0.111111111111,filtered_out,
15,0.133333333333,filtered_out,
14,0.214285714286,filtered_out,
11,0.454545454545,filtered_out,
13,0,filtered_out,
0,,filtered_out,
17,0.117647058824,filtered_out,
19,0.947368421053,filtered_out,
14,0,filtered_out,
17,0,filtered_out,
0,,filtered_out,
5,1.2,filtered_out,
18,0.333333333333,filtered_out,
16,0,filtered_out,
15,0,filtered_out,
6,0.333333333333,filtered_out,
1,0,filtered_out,
15,0.533333333333,filtered_out,
2,1,filtered_out,
0,,filtered_out,
3,0,filtered_out,
4,0,filtered_out,
8,0,filtered_out,
5,1.4,filtered_out,
2,0,filtered_out,
14,0.214285714286,filtered_out,
4,0,filtered_out,
15,0.2,filtered_out,
0,,filtered_out,
1,2,filtered_out,
16,0.625,filtered_out,
1,0,filtered_out,
0,,filtered_out,
11,0.0909090909091,filtered_out,
0,,filtered_out,
17,0.117647058824,filtered_out,
5,0,filtered_out,
14,0.285714285714,filtered_out,
0,,filtered_out,
7,0.571428571429,filtered_out,
0,,filtered_out,
11,0.363636363636,filtered_out,
4,0,filtered_out,
13,0.230769230769,filtered_out,
15,0.333333333333,filtered_out,
6,0,filtered_out,
5,0,filtered_out,
6,0.5,filtered_out,
8,0.875,filtered_out,
4,0,filtered_out,
4,0.5,filtered_out,
15,0.133333333333,filtered_out,
1,0,filtered_out,
0,,filtered_out,
0,,filtered_out,
