minutes,Y_draft
0,0
0,0
0,0
0,0
0,0
57,0
98,0
0,0
0,0
0,0
0,0
252,0
353,0
0,0
0,0
5,0
0,0
0,0
0,0
404,0
90,0
247,0
0,0
250,0
689,0
928,0
85,0
1,0
535,0
794,0
733,0
545,0
295,0
848,0
1038,0
929,0
663,0
984,0
167,0
553,0
1090,0
626,0
528,0
624,0
1144,1
919,0
923,0
203,0
0,0
34,0
8,0
972,0
954,0
1139,0
0,0
798,0
267,0
778,0
921,0
0,0
634,0
104,0
890,0
901,0
1084,0
339,0
1043,0
786,0
618,0
574,0
342,0
766,0
426,0
327,0
937,0
759,0
452,0
149,0
3,0
29,0
357,0
1080,0
1017,0
999,0
467,0
743,0
1041,0
861,0
109,0
964,0
292,0
876,0
958,0
1014,0
423,0
1090,0
213,0
133,0
1021,0
1200,0
580,0
1023,0
348,0
349,0
406,0
824,0
1000,0
676,0
409,0
399,0
1099,0
824,0
790,0
119,0
1047,0
905,0
1131,0
0,0
571,0
105,0
830,0
1093,0
1104,0
351,0
206,0
1091,0
771,0
1021,0
358,0
1108,0
758,0
1098,0
810,0
902,0
643,0
1116,0
1233,0
730,0
1173,0
622,0
1243,0
99,0
540,0
945,0
689,0
698,0
454,0
313,0
848,0
307,0
725,0
1099,0
312,0
573,0
738,0
1092,0
943,0
514,0
263,0
116,0
729,0
812,0
788,0
0,0
241,0
1130,0
1027,0
865,0
1033,1
936,0
146,0
409,0
3,0
569,0
832,0
354,0
272,0
1073,0
1142,0
104,0
240,0
991,0
1006,0
150,0
886,0
831,0
592,0
352,0
238,0
811,0
838,0
810,0
998,0
73,0
231,0
757,0
686,0
1055,0
129,0
697,0
325,0
200,0
278,0
167,0
1043,0
779,0
157,0
1087,0
304,0
397,0
1252,0
814,0
470,0
1047,0
658,0
466,0
725,0
612,0
1061,0
714,0
758,0
1133,0
17,0
919,1
223,0
503,0
1121,0
84,0
879,0
67,0
264,0
901,0
977,0
0,0
1062,0
825,0
233,0
200,0
910,0
675,0
0,0
1047,0
973,0
727,0
623,0
1055,0
1012,0
930,0
900,0
635,0
263,0
26,0
744,0
81,0
1062,0
245,0
602,0
1173,0
408,0
840,0
59,0
781,0
175,0
147,0
800,0
1018,0
670,0
1089,0
951,0
550,0
414,0
0,0
553,0
1102,0
489,0
515,0
1034,0
333,0
764,0
581,0
343,0
229,0
0,0
1099,0
951,0
468,0
17,0
369,0
662,0
851,0
331,0
861,0
808,0
981,0
1050,0
842,0
0,0
853,0
0,0
353,0
540,0
836,0
724,0
62,0
57,0
1115,0
984,0
977,0
821,0
869,0
654,0
412,0
21,0
467,0
594,0
471,0
544,0
130,0
898,0
137,0
806,0
1187,0
