team_id,season,games_n,team_short_display_name
2,2011,30,Auburn
5,2011,31,UAB
6,2011,28,South Alabama
8,2011,31,Arkansas
9,2011,31,Arizona St
12,2011,38,Arizona
13,2011,30,Cal Poly
16,2011,26,Sacramento St
21,2011,37,San Diego St
23,2011,33,San José St
24,2011,31,Stanford
25,2011,33,California
26,2011,34,UCLA
27,2011,29,UC Riverside
30,2011,34,USC
36,2011,31,Colorado St
38,2011,38,Colorado
41,2011,41,UConn
42,2011,31,Hartford
43,2011,28,Yale
44,2011,31,American
45,2011,31,G Washington
46,2011,32,Georgetown
47,2011,30,Howard
48,2011,31,Delaware
50,2011,29,FAMU
52,2011,33,Florida St
55,2011,30,J'Ville St
56,2011,31,Stetson
57,2011,37,Florida
58,2011,33,South Florida
59,2011,31,Georgia Tech
61,2011,33,Georgia
62,2011,29,Hawai'i
66,2011,32,Iowa State
68,2011,35,Boise St
70,2011,31,Idaho
71,2011,32,Bradley
77,2011,34,Northwestern
79,2011,32,S Illinois
82,2011,30,UIC
84,2011,32,Indiana
85,2011,31,IUPUI
87,2011,34,Notre Dame
93,2011,31,Murray St
96,2011,38,Kentucky
97,2011,35,Louisville
98,2011,32,Western KY
99,2011,32,LSU
103,2011,34,Boston College
104,2011,35,Boston Univ
107,2011,29,Holy Cross
108,2011,30,Harvard
111,2011,31,Northeastern
113,2011,29,UMass
116,2011,32,Mount St Mary
119,2011,30,Towson
120,2011,33,Maryland
127,2011,34,Michigan St
130,2011,35,Michigan
135,2011,31,Minnesota
139,2011,31,Saint Louis
140,2011,30,Kansas City
142,2011,34,Missouri
145,2011,34,Ole Miss
147,2011,28,Montana St
149,2011,32,Montana
150,2011,37,Duke
151,2011,33,East Carolina
152,2011,31,NC State
153,2011,37,North Carolina
154,2011,32,Wake Forest
155,2011,33,North Dakota
156,2011,39,Creighton
158,2011,32,Nebraska
159,2011,28,Dartmouth
160,2011,29,New Hampshire
161,2011,29,Fair Dickinson
163,2011,32,Princeton
164,2011,32,Rutgers
166,2011,32,New Mexico St
167,2011,35,New Mexico
171,2011,27,Columbia
172,2011,28,Cornell
179,2011,31,St Bonaventure
183,2011,34,Syracuse
189,2011,33,Bowling Green
193,2011,33,Miami OH
194,2011,37,Ohio State
195,2011,35,Ohio
197,2011,34,Oklahoma St
198,2011,35,Oral Roberts
201,2011,32,Oklahoma
202,2011,32,Tulsa
204,2011,31,Oregon St
213,2011,34,Penn State
218,2011,34,Temple
219,2011,28,Penn
221,2011,34,Pitt
222,2011,33,Villanova
225,2011,27,Brown
227,2011,34,Rhode Island
228,2011,34,Clemson
231,2011,32,Furman
232,2011,37,Charleston
233,2011,31,South Dakota
235,2011,35,Memphis
236,2011,32,Chattanooga
238,2011,34,Vanderbilt
239,2011,31,Baylor
242,2011,31,Rice
245,2011,32,Texas A&M
248,2011,30,Houston
249,2011,33,North Texas
250,2011,25,UT Arlington
251,2011,36,Texas
252,2011,37,BYU
253,2011,28,Southern Utah
254,2011,30,Utah
256,2011,33,James Madison
257,2011,37,Richmond
258,2011,31,Virginia
259,2011,34,Virginia Tech
261,2011,32,Vermont
264,2011,35,Washington
265,2011,35,Washington St
269,2011,37,Marquette
270,2011,33,Milwaukee
275,2011,34,Wisconsin
276,2011,34,Marshall
277,2011,33,West Virginia
278,2011,30,Fresno St
279,2011,29,Pacific
282,2011,34,Indiana St
288,2011,30,Lipscomb
290,2011,31,Georgia So
292,2011,28,UT Rio Grande
294,2011,31,Jacksonville
295,2011,34,Old Dominion
299,2011,32,Long Beach St
300,2011,32,UC Irvine
301,2011,28,San Diego
302,2011,29,UC Davis
304,2011,27,Idaho St
305,2011,31,DePaul
309,2011,29,Louisiana
311,2011,29,Maine
314,2011,37,Iona
315,2011,32,Niagara
322,2011,32,Lafayette
324,2011,30,Coast Car
325,2011,36,Cleveland St
326,2011,31,Texas St
328,2011,34,Utah State
331,2011,29,E Washington
333,2011,37,Alabama
338,2011,30,Kennesaw St
339,2011,31,Evansville
344,2011,31,Mississippi St
349,2011,30,Army
350,2011,31,UNC Wilmington
356,2011,34,Illinois
357,2011,30,Texas A&M-CC
399,2011,32,Albany
526,2011,30,FGCU
2005,2011,32,Air Force
2006,2011,36,Akron
2010,2011,25,Alabama A&M
2011,2011,33,Alabama St
2016,2011,27,Alcorn St
2026,2011,31,Appalachian St
2029,2011,31,AR-Pine Bluff
2031,2011,36,Little Rock
2032,2011,32,Arkansas St
2046,2011,33,Austin Peay
2050,2011,32,Ball State
2057,2011,35,Belmont
2065,2011,30,Bethune
2066,2011,31,Binghamton
2083,2011,34,Bucknell
2084,2011,34,Buffalo
2086,2011,38,Butler
2097,2011,31,Campbell
2099,2011,30,Canisius
2110,2011,26,C Arkansas
2113,2011,28,Centenary LA
2115,2011,31,C Connecticut
2116,2011,33,UCF
2117,2011,30,C Michigan
2127,2011,29,Charleston So
2130,2011,29,Chicago St
2132,2011,35,Cincinnati
2142,2011,30,Colgate
2154,2011,27,Coppin St
2166,2011,33,Davidson
2168,2011,36,Dayton
2169,2011,29,Delaware St
2172,2011,30,Denver
2174,2011,32,Detroit Mercy
2181,2011,31,Drake
2182,2011,31,Drexel
2184,2011,31,Duquesne
2193,2011,35,ETSU
2197,2011,29,E Illinois
2198,2011,29,E Kentucky
2199,2011,31,E Michigan
2210,2011,28,Elon
2217,2011,33,Fairfield
2226,2011,30,FAU
2229,2011,30,FIU
2230,2011,28,Fordham
2239,2011,29,Fullerton
2241,2011,30,Gardner-Webb
2244,2011,34,George Mason
2247,2011,31,Georgia St
2250,2011,35,Gonzaga
2261,2011,32,Hampton
2272,2011,29,High Point
2275,2011,32,Hofstra
2277,2011,30,Hou Christian
2287,2011,31,Illinois St
2294,2011,31,Iowa
2296,2011,30,Jackson St
2305,2011,38,Kansas
2306,2011,34,Kansas St
2309,2011,37,Kent State
2320,2011,29,Lamar
2325,2011,33,La Salle
2329,2011,31,Lehigh
2335,2011,30,Liberty
2344,2011,29,Longwood
2348,2011,32,Louisiana Tech
2350,2011,31,Loyola Chicago
2351,2011,30,LMU
2352,2011,30,Loyola MD
2363,2011,31,Manhattan
2368,2011,33,Marist
2377,2011,31,McNeese
2378,2011,30,UMBC
2379,2011,29,MD-Eastern
2382,2011,32,Mercer
2390,2011,36,Miami
2393,2011,31,MTSU
2400,2011,32,Miss Valley St
2405,2011,30,Monmouth
2413,2011,33,Morehead St
2415,2011,31,Morgan St
2426,2011,31,Navy
2427,2011,34,UNC Asheville
2428,2011,26,NC Central
2429,2011,30,Charlotte
2430,2011,31,UNC Greensboro
2433,2011,31,UL Monroe
2439,2011,33,UNLV
2440,2011,32,Nevada
2447,2011,24,Nicholls
2448,2011,29,NC A&T
2449,2011,29,N Dakota St
2450,2011,32,Norfolk St
2454,2011,34,North Florida
2458,2011,30,N Colorado
2459,2011,29,N Illinois
2460,2011,34,Northern Iowa
2463,2011,30,CSU Northridge
2464,2011,31,N Arizona
2466,2011,32,N'Western St
2473,2011,34,Oakland
2483,2011,39,Oregon
2492,2011,33,Pepperdine
2501,2011,32,Portland
2502,2011,30,Portland St
2504,2011,28,Prairie View
2506,2011,31,Presbyterian
