vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,poolq_binning
0,668,0,0.0,-1.0726920850448818,-1.0771294293366145,-1.1293036924359428,-0.9757222057929914,1,-1.1293036924359428,-0.9754755028222891,-1.052389597629116,equal_width
1,674,0,0.0,-0.8974240996230505,-0.8951827138246593,-0.9754440444172476,-0.8221248829919587,2,-0.9754755028222891,-0.8216473132086355,-0.8985614080154622,equal_width
2,1126,1,0.0008880994671403197,-0.7395810120047108,-0.737399526459499,-0.8213895738909323,-0.6678303947836954,3,-0.8216473132086355,-0.6678191235949819,-0.7447332184018087,equal_width
3,1609,2,0.001243008079552517,-0.5866493559372034,-0.5848215375760832,-0.6672419949267425,-0.5140312907380664,4,-0.6678191235949819,-0.5139909339813282,-0.590905028788155,equal_width
4,1901,5,0.0026301946344029457,-0.4358608223928166,-0.43379536217400716,-0.5137524006909666,-0.3602447879715528,5,-0.5139909339813282,-0.3601627443676746,-0.4370768391745014,equal_width
5,2182,4,0.0018331805682859762,-0.2830062389013203,-0.2832148742522794,-0.3600916961316283,-0.20635039338776112,6,-0.3601627443676746,-0.20633455475402096,-0.2832486495608478,equal_width
6,2132,8,0.00375234521575985,-0.1292179083115575,-0.12872476162330992,-0.2062904664740704,-0.052615973566459154,7,-0.20633455475402096,-0.05250636514036722,-0.1294204599471941,equal_width
7,1826,14,0.007667031763417305,0.021741932649820137,0.021006859437825962,-0.052444369692549446,0.10115713611177242,8,-0.05250636514036722,0.1013218244732863,0.024407729666459543,equal_width
8,1509,33,0.02186878727634195,0.17815521928035477,0.17891974127518082,0.10139153067308615,0.25505585274491227,9,0.1013218244732863,0.2551500140869398,0.17823591928011306,equal_width
9,1317,30,0.022779043280182234,0.33044358055447426,0.3320633288809307,0.25515098496780975,0.40891053684367845,10,0.2551500140869398,0.40897820370059357,0.3320641088937667,equal_width
10,1146,45,0.03926701570680628,0.4811671492815362,0.4795589434610799,0.4091797028803055,0.5627494791961257,11,0.40897820370059357,0.5628063933142473,0.48589229850742044,equal_width
11,963,59,0.0612668743509865,0.6394008089025544,0.6393506566074465,0.5628280337026274,0.7166252509630422,12,0.5628063933142473,0.7166345829279008,0.6397204881210741,equal_width
12,851,91,0.10693301997649823,0.7930806340451537,0.793515701132688,0.7167881616713832,0.8702127732181623,13,0.7166345829279008,0.8704627725415544,0.7935486777347276,equal_width
13,607,64,0.10543657331136738,0.9378140275741552,0.9348123409082543,0.8711438298131307,1.0221301426300955,14,0.8704627725415544,1.0242909621552083,0.9473768673483813,equal_width
14,384,59,0.15364583333333334,1.0934952710893044,1.0932411694006297,1.024301970391956,1.1775008453996816,15,1.0242909621552083,1.1781191517688618,1.101205056962035,equal_width
15,399,95,0.23809523809523808,1.2831454644875953,1.3119223616337967,1.178223934568817,1.3319473413825151,16,1.1781191517688618,1.3319473413825151,1.2550332465756884,equal_width
