vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,poolq_binning
0,499,2,0.004008016032064128,-0.8193970964314332,-0.8477007601399869,-0.8477007601399869,-0.741786621150025,1,-0.8477007601399869,-0.7417196347073914,-0.7947101974236892,equal_width
1,429,4,0.009324009324009324,-0.685847575681176,-0.6832659527674848,-0.7413855216096,-0.635986130327913,2,-0.7417196347073914,-0.6357385092747959,-0.6887290719910937,equal_width
2,769,10,0.013003901170351105,-0.5762019610857885,-0.5725775607073332,-0.6357010558750751,-0.5298084450428588,3,-0.6357385092747959,-0.5297573838422005,-0.5827479465584982,equal_width
3,1145,15,0.013100436681222707,-0.4746349938300096,-0.47270647031485785,-0.5296913629220907,-0.424039046991058,4,-0.5297573838422005,-0.42377625840960503,-0.47676682112590274,equal_width
4,1542,20,0.01297016861219196,-0.36737895940425014,-0.3658390174409244,-0.42377235354625625,-0.3178836767735217,5,-0.42377625840960503,-0.31779513297700956,-0.3707856956933073,equal_width
5,2056,29,0.014105058365758755,-0.26260393582540503,-0.26110236881219495,-0.3177899023556105,-0.2118323104184942,6,-0.31779513297700956,-0.21181400754441415,-0.26480457026071186,equal_width
6,2467,53,0.021483583299554115,-0.15736922026252412,-0.15772989272244184,-0.21180333428433126,-0.10584681567714214,7,-0.21181400754441415,-0.10583288211181863,-0.1588234448281164,equal_width
7,2664,61,0.0228978978978979,-0.052715283645624965,-0.05152595325907897,-0.10579613097669584,7.984077576175593e-05,8,-0.10583288211181863,0.00014824332077678637,-0.05284231939552092,equal_width
8,2782,63,0.022645578720345075,0.05295878691417861,0.0537874002656374,0.0001577165671427025,0.1059967240142848,9,0.00014824332077678637,0.1061293687533722,0.05313880603707449,equal_width
9,2499,91,0.036414565826330535,0.15735986656177253,0.15656596634633915,0.10617350348822857,0.21209796678284798,10,0.1061293687533722,0.21211049418596772,0.15911993146966996,equal_width
10,1908,59,0.030922431865828093,0.26246902842198533,0.2625235691245089,0.2121613501922017,0.3180602056898516,11,0.21211049418596772,0.31809161961856325,0.2651010569022655,equal_width
11,1518,70,0.0461133069828722,0.36985733834773693,0.3694081650660028,0.31810220125484556,0.42387149546844355,12,0.31809161961856325,0.42407274505115855,0.3710821823348609,equal_width
12,974,39,0.04004106776180698,0.471866559466753,0.4691256777732028,0.4241043399669176,0.530037562513547,13,0.42407274505115855,0.5300538704837541,0.4770633077674563,equal_width
13,677,38,0.056129985228951254,0.5797065584177877,0.5788518162028897,0.5300936701691316,0.6356676720307045,14,0.5300538704837541,0.6360349959163496,0.5830444332000518,equal_width
14,429,25,0.05827505827505827,0.6827669965152249,0.680332264710196,0.6361262937140622,0.7416430630314276,15,0.6360349959163496,0.7420161213489449,0.6890255586326473,equal_width
15,427,36,0.08430913348946135,0.8197472721160676,0.8479972467815404,0.7421299957197434,0.8479972467815404,16,0.7420161213489449,0.8479972467815404,0.7950066840652427,equal_width
