vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,poolq_binning
0,512,4,0.0078125,-0.720840059372791,-0.7438707837754072,-0.7472550083373511,-0.6530086258085235,1,-0.7472550083373511,-0.6529466498011347,-0.700100829069243,equal_width
1,473,4,0.008456659619450317,-0.6006673104061577,-0.597864126284223,-0.6527776030904272,-0.5586700846607293,2,-0.6529466498011347,-0.5586382912649182,-0.6057924705330264,equal_width
2,733,8,0.010914051841746248,-0.5085098520929701,-0.5068071701768591,-0.5586324692467747,-0.46469172826401234,3,-0.5586382912649182,-0.4643299327287017,-0.5114841119968099,equal_width
3,1166,14,0.012006861063464836,-0.4140018169051144,-0.41273028073096474,-0.46432638802726045,-0.3700232719912805,4,-0.4643299327287017,-0.37002157419248527,-0.4171757534605935,equal_width
4,1605,19,0.011838006230529595,-0.3205929069357506,-0.31986631096383655,-0.3700135360975147,-0.2757956417980172,5,-0.37002157419248527,-0.27571321565626883,-0.32286739492437705,equal_width
5,2083,37,0.017762842054728757,-0.2258319550523626,-0.22424712415807557,-0.27568132182555083,-0.18141778212061593,6,-0.27571321565626883,-0.18140485712005228,-0.22855903638816055,equal_width
6,2533,42,0.016581129095933674,-0.1331183155805603,-0.13206540611389075,-0.18138381484164465,-0.08713473421642405,7,-0.18140485712005228,-0.08709649858383584,-0.13425067785194406,equal_width
7,2703,68,0.025157232704402517,-0.04030267510062284,-0.04125405932920387,-0.08703691524370134,0.00700262113094349,8,-0.08709649858383584,0.007211859952380606,-0.039942319315727615,equal_width
8,2667,61,0.022872140982377203,0.0534871060059061,0.052977163121681194,0.007310088758982379,0.10151879653161561,9,0.007211859952380606,0.10152021848859705,0.05436603922048883,equal_width
9,2437,89,0.03652031185884284,0.14855145449663654,0.14883785677269767,0.10162673695465833,0.19577801915375098,10,0.10152021848859705,0.1958285770248135,0.14867439775670527,equal_width
10,2015,63,0.031265508684863524,0.24059335544247695,0.23919396223169204,0.195927574713352,0.29009107926521244,11,0.1958285770248135,0.29013693556103004,0.24298275629292176,equal_width
11,1390,57,0.04100719424460432,0.33486416180999723,0.33371107592711535,0.2901847396987022,0.38427364900443606,12,0.29013693556103004,0.3844452940972466,0.3372911148291383,equal_width
12,978,53,0.0541922290388548,0.43074778972879973,0.43128071274631075,0.3846073026520973,0.47863601572388415,13,0.3844452940972466,0.4787536526334629,0.43159947336535476,equal_width
13,680,37,0.054411764705882354,0.5224386497846999,0.5193668664126864,0.4788022730113142,0.5730128799379716,14,0.4787536526334629,0.5730620111696795,0.5259078319015712,equal_width
14,393,22,0.05597964376590331,0.616722964005995,0.6163639850509451,0.5739734179922836,0.6673018380892141,15,0.5730620111696795,0.6673703697058958,0.6202161904377876,equal_width
15,417,37,0.08872901678657075,0.7363397418977066,0.7616787282421125,0.6674462074229123,0.7616787282421125,16,0.6673703697058958,0.7616787282421125,0.7145245489740042,equal_width
