vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,poolq_binning
0,486,0,0.0,-0.8609309461275666,-0.8874386570353513,-0.8874386570353513,-0.7791515229644566,1,-0.8874386570353513,-0.7790588120887356,-0.8332487345620434,equal_width
1,358,5,0.013966480446927373,-0.7202623294350152,-0.7184537266112702,-0.7790356497297948,-0.6708910363522737,2,-0.7790588120887356,-0.6706789671421198,-0.7248688896154277,equal_width
2,630,8,0.012698412698412698,-0.6120464110683523,-0.6110949248608011,-0.670645076268654,-0.5624826885725057,3,-0.6706789671421198,-0.562299122195504,-0.6164890446688119,equal_width
3,942,15,0.01592356687898089,-0.5044873087214996,-0.5021835673206769,-0.5620903061519353,-0.4539960913352528,4,-0.562299122195504,-0.45391927724888836,-0.5081091997221963,equal_width
4,1550,19,0.012258064516129033,-0.3968342425459839,-0.39596132380799487,-0.45375023781437235,-0.34555204998314215,5,-0.45391927724888836,-0.3455394323022726,-0.39972935477558047,equal_width
5,1920,34,0.017708333333333333,-0.2892894731253212,-0.2885371521510217,-0.3455336653852666,-0.2372086391785715,6,-0.3455394323022726,-0.2371595873556569,-0.29134950982896474,equal_width
6,2413,41,0.01699129714048902,-0.1824721682694599,-0.1828219580054489,-0.2371442400545348,-0.12904002872325637,7,-0.2371595873556569,-0.12877974240904122,-0.18296966488234906,equal_width
7,2699,59,0.021859948128936643,-0.0734474131531555,-0.07318060524860603,-0.12871646233967826,-0.02042332649473669,8,-0.12877974240904122,-0.02039989746242543,-0.07458981993573333,equal_width
8,2805,65,0.023172905525846704,0.034965850329064414,0.03517519271178663,-0.020300082799967766,0.08797729043126822,9,-0.02039989746242543,0.08797994748419036,0.03379002501088246,equal_width
9,2620,87,0.033206106870229006,0.14075470752399116,0.1399332315068489,0.08799511089842617,0.19629338618269498,10,0.08797994748419036,0.19635979243080615,0.14216986995749825,equal_width
10,2096,76,0.03625954198473282,0.24896107242127813,0.24817117201094774,0.19642934454275188,0.30472170869242243,11,0.19635979243080615,0.3047396373774217,0.25054971490411393,equal_width
11,1616,74,0.04579207920792079,0.3547234405917515,0.3513984520644772,0.30479822547755503,0.4130985079490659,12,0.3047396373774217,0.4131194823240375,0.3589295598507296,equal_width
12,1089,45,0.04132231404958678,0.4619062098826217,0.4605381625835131,0.41311962140008024,0.5213289396089864,13,0.4131194823240375,0.5214993272706533,0.4673094047973454,equal_width
13,694,31,0.0446685878962536,0.5718665454082262,0.5704081986292788,0.5216262686205818,0.629727853162822,14,0.5214993272706533,0.6298791722172689,0.5756892497439611,equal_width
14,435,16,0.0367816091954023,0.677645079662959,0.6728749095144363,0.6299025784730135,0.7378715900039192,15,0.6298791722172689,0.7382590171638846,0.6840690946905768,equal_width
15,436,40,0.09174311926605505,0.8135360034483929,0.8412822370711261,0.7387270975331699,0.8466388621105004,16,0.7382590171638846,0.8466388621105004,0.7924489396371925,equal_width
