vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,5,0,0,0,0.434491,-0.665684,-0.421729,"[-0.6657, -0.4217)",-0.541652,-0.517333,coarse,False,True
1,2,32,7,0.21875,0.110237,0.387553,-0.421729,-0.177774,"[-0.4217, -0.1778)",-0.254735,-0.228204,coarse,False,False
2,3,80,17,0.2125,0.137123,0.314224,-0.177774,0.0661805,"[-0.1778, 0.06618)",-0.0558512,-0.0528564,coarse,False,False
3,4,97,40,0.412371,0.319572,0.511847,0.0661805,0.310135,"[0.06618, 0.3101)",0.186085,0.185815,coarse,False,False
4,5,86,31,0.360465,0.266968,0.465895,0.310135,0.584079,"[0.3101, 0.5841)",0.434764,0.446035,fine_tail,True,False
5,6,72,33,0.458333,0.348284,0.572603,0.584079,0.858023,"[0.5841, 0.858)",0.709225,0.711007,fine_tail,True,False
6,7,22,14,0.636364,0.429513,0.80267,0.858023,1.13197,"[0.858, 1.132)",0.982564,0.987771,fine_tail,True,True
7,8,24,9,0.375,0.211591,0.572904,1.13197,1.40591,"[1.132, 1.406)",1.24703,1.21833,fine_tail,True,True
8,9,6,1,0.166667,0.0300526,0.563509,1.40591,1.67985,"[1.406, 1.68)",1.59412,1.59627,fine_tail,True,True
10,11,3,0,0,0,0.561506,1.9538,2.22774,"[1.954, 2.228)",2.17503,2.14867,fine_tail,True,True
