vent,n,draft_rate,perf_mean,perf_median
0,305,0.0,-2.0215269888705305,-1.943571257575241
1,305,0.0,-1.4489463176179738,-1.443307244959389
2,305,0.0,-1.1726461554896657,-1.1692226480538541
3,304,0.0,-0.9674717799853705,-0.9676342133074832
4,305,0.0,-0.7839735760431066,-0.7840441572807066
5,305,0.0,-0.6208717039002764,-0.6219117480917508
6,305,0.0,-0.469066929649184,-0.4734202173226869
7,304,0.003289473684210526,-0.31802561708309357,-0.32202384237426485
8,305,0.006557377049180328,-0.1711863033675132,-0.17242500468426594
9,305,0.009836065573770493,-0.029409637698050824,-0.032973497599642014
10,305,0.02622950819672131,0.11204354878047647,0.10915074121359557
11,304,0.049342105263157895,0.25408831511024005,0.25380860710195297
12,305,0.03934426229508197,0.40169421663678795,0.40472228781199476
13,305,0.06557377049180328,0.5546480899995524,0.5554119394850408
14,305,0.09836065573770492,0.7164572510571674,0.7148096784595884
15,304,0.12828947368421054,0.900497569431072,0.9061096039717661
16,305,0.14098360655737704,1.1146818394002656,1.1137133321025179
17,305,0.20327868852459016,1.352557027860128,1.3447497371907868
18,305,0.24262295081967214,1.6700211827108384,1.654409052091664
19,304,0.3782894736842105,2.3862378931296475,2.238942900940849
