vent,n,draft_rate,perf_mean,perf_median
0,1238,0.0,-1.948756295948189,-1.8577651232381982
1,1238,0.0,-1.3875194908629391,-1.3786112421742305
2,1238,0.0,-1.093585817584354,-1.0946236105378844
3,1237,0.0,-0.8622853710402283,-0.863021993469739
4,1238,0.0,-0.6565731244684379,-0.6546068127426183
5,1238,0.0008077544426494346,-0.46955771023892345,-0.4706599044491119
6,1237,0.002425222312045271,-0.2923754953679295,-0.29412675650002346
7,1238,0.0032310177705977385,-0.11778744454716678,-0.11634699685309244
8,1238,0.006462035541195477,0.055189527387587575,0.052729274306788414
9,1237,0.016168148746968473,0.23573839076623154,0.23620396929973747
10,1238,0.016962843295638127,0.41983511394399115,0.42070366031827006
11,1238,0.025040387722132473,0.6252950876687978,0.624259770215476
12,1237,0.04688763136620857,0.8490947024729144,0.8509440853426
13,1238,0.062197092084006464,1.1241673920034096,1.1247739019784848
14,1238,0.0840064620355412,1.478246939492353,1.4738334525405647
15,1237,0.15602263540824576,2.226751696559492,2.0804775128044235
