vent,n,draft_rate,poolq_mean,poolq_median
0,391,0.015345268542199489,-0.6031035105722029,-0.6174895790319825
1,261,0.011494252873563218,-0.5210593336321498,-0.5205465480645776
2,438,0.02968036529680365,-0.45883611416892234,-0.459721316793953
3,673,0.02823179791976226,-0.39389326527859087,-0.39173491021979756
4,919,0.022850924918389554,-0.33373979047811897,-0.33388095648070054
5,1140,0.02456140350877193,-0.27054441165235354,-0.26992775095416244
6,1474,0.01967435549525102,-0.20739690885460751,-0.2071870064026246
7,1649,0.030927835051546393,-0.14500275174772329,-0.14430883218767554
8,1814,0.025358324145534728,-0.08154940167957705,-0.08107762886332477
9,1863,0.026838432635534086,-0.019658625107870788,-0.019871982878538724
10,1823,0.021393307734503566,0.0432852813863496,0.042690084632876976
11,1654,0.028415961305925032,0.10491469551912676,0.1037888002149926
12,1388,0.03386167146974063,0.16774563925454533,0.16650950003043624
13,1141,0.024539877300613498,0.23046618621863665,0.22992325795428847
14,993,0.026183282980866064,0.2936246258602394,0.29244114148558153
15,701,0.03138373751783167,0.3563851270448042,0.35586788681303905
16,505,0.033663366336633666,0.4185102610361077,0.41632420350987137
17,364,0.03571428571428571,0.48169126297583825,0.4810205166564381
18,259,0.023166023166023165,0.5432327739124382,0.5434616269092923
19,353,0.025495750708215296,0.6251271519385061,0.6410846369689107
