vent,n,draft_rate,poolq_mean,poolq_median
0,105,0.05714285714285714,-0.6027277501834667,-0.6174895790319825
1,57,0.05263157894736842,-0.5204765497382214,-0.5173839881936225
2,105,0.12380952380952381,-0.45930737169680175,-0.4610755457570832
3,187,0.10160427807486631,-0.3941800830992066,-0.39160980347326707
4,286,0.07342657342657342,-0.3332929085231078,-0.33223627142245676
5,358,0.0782122905027933,-0.2712005061615239,-0.27115742337588855
6,455,0.06373626373626373,-0.20717858678590514,-0.2069309643367101
7,602,0.08471760797342193,-0.14521609362427734,-0.14507688991172968
8,708,0.06497175141242938,-0.08131345337727865,-0.0813017731260728
9,731,0.06839945280437756,-0.018721234948680873,-0.018610973992046587
10,760,0.05131578947368421,0.04313826956719126,0.04197787786033495
11,701,0.06704707560627675,0.10500784418015051,0.10503089390846307
12,620,0.07580645161290323,0.16751693791189312,0.16660748305177342
13,547,0.051188299817184646,0.23107921195985692,0.22982111219308865
14,485,0.05360824742268041,0.29436173547566596,0.29327350212829323
15,364,0.06043956043956044,0.35782853022899985,0.35713730820788114
16,266,0.06390977443609022,0.4176504050171549,0.41578334365227015
17,181,0.0718232044198895,0.4841640167493828,0.48525879334463656
18,158,0.0379746835443038,0.5433776273987289,0.5432882990128847
19,188,0.047872340425531915,0.6226151719321886,0.6364591372730413
