vent,n,draft_rate,poolq_mean,poolq_median
0,5,0.0,-0.5759034327429415,-0.5876441854907056
1,6,0.16666666666666666,-0.49411097122579956,-0.4891911324281569
2,16,0.0,-0.4315741668175324,-0.4287088540616997
3,42,0.14285714285714285,-0.3668032268169683,-0.3696979710541671
4,102,0.058823529411764705,-0.3056867469451075,-0.30269246334741323
5,161,0.12422360248447205,-0.2425042383359352,-0.24107778717524156
6,327,0.08256880733944955,-0.1810636360497142,-0.17985016185055686
7,538,0.07992565055762081,-0.12151919703692646,-0.12184016698743469
8,549,0.07468123861566485,-0.06173480980747989,-0.06336469111918037
9,634,0.0694006309148265,0.0024616505964810366,0.0026451555735118306
10,802,0.08603491271820449,0.06325147170327455,0.0628997358654303
11,737,0.05698778833107191,0.1247542927896593,0.12542647690004147
12,601,0.06655574043261231,0.18541934905933657,0.18457800664852278
13,430,0.06279069767441861,0.24783472932254488,0.24728856773215818
14,290,0.06896551724137931,0.3084739668638733,0.306889000180804
15,187,0.08021390374331551,0.36913240226549593,0.36753136808433806
16,111,0.036036036036036036,0.43237690560982506,0.42969586374052154
17,76,0.10526315789473684,0.49422099396980756,0.4928938713990058
18,41,0.07317073170731707,0.5573283497652444,0.5565417987062545
19,65,0.03076923076923077,0.6438386449691234,0.6517473082040903
