vent,n,draft_rate,poolq_mean,poolq_median
0,2895,0.014162348877374784,-0.3408651351224442,-0.316410470663169
1,2894,0.01243953006219765,-0.20188464054939845,-0.1999590693877715
2,2894,0.011402902557014512,-0.14016410040408755,-0.13952666454232054
3,2894,0.011748445058742226,-0.09476078756548652,-0.09458622917624468
4,2894,0.011748445058742226,-0.05636330087826947,-0.056246006915643194
5,2894,0.010020732550103663,-0.02194481203913751,-0.021668805359669585
6,2894,0.010711817553559088,0.009722861201896008,0.009545490195749427
7,2894,0.013821700069108501,0.04007195335667804,0.04030617445698434
8,2895,0.010362694300518135,0.06835291241194542,0.06853275854048663
9,2894,0.010020732550103663,0.097162255153021,0.0967956553892842
10,2894,0.008638562543192813,0.1263305635238005,0.1262742727834747
11,2894,0.007947477539737388,0.15724462266158765,0.1568019722315196
12,2894,0.012093987560469938,0.1931202378888748,0.19248909676451217
13,2894,0.010020732550103663,0.24027406025532458,0.2396556491474438
14,2894,0.0110573600552868,0.30766376620297853,0.30469906986962203
15,2894,0.011402902557014512,0.4798752926398751,0.4506332850685708
