vent,n,draft_rate,poolq_mean,poolq_median
0,1030,0.04563106796116505,-0.335136255805535,-0.3041884705158481
1,1030,0.03495145631067961,-0.1887426067286193,-0.1865168148026478
2,1030,0.031067961165048542,-0.1310112192787403,-0.13048102657747934
3,1029,0.0369290573372206,-0.0878074009118269,-0.08726240410820996
4,1030,0.03203883495145631,-0.04795083048728352,-0.047921702138808656
5,1030,0.02912621359223301,-0.009034388772183353,-0.008858798840262772
6,1029,0.04081632653061224,0.025726428264189992,0.025627986656090364
7,1030,0.037864077669902914,0.05644948732716981,0.05642218733234451
8,1030,0.031067961165048542,0.0853911818864645,0.08579490651123674
9,1029,0.024295432458697766,0.11430305953927983,0.11405155021646331
10,1030,0.020388349514563107,0.14356963436891582,0.14317417835516855
11,1030,0.027184466019417475,0.17527183424397952,0.17546609274527986
12,1029,0.027210884353741496,0.21352961579994126,0.2134525436976137
13,1030,0.02621359223300971,0.2607840779230901,0.2594185002847569
14,1030,0.027184466019417475,0.3261400505371166,0.32247460187972954
15,1029,0.027210884353741496,0.4888603484344089,0.4633771656616733
