vent,n,draft_rate,poolq_mean,poolq_median
0,824,0.08009708737864078,-0.4627848890728555,-0.4384274670908929
1,824,0.06796116504854369,-0.304784644408037,-0.30265595993203176
2,824,0.07524271844660194,-0.22205109356922728,-0.22035605001691153
3,824,0.0825242718446602,-0.15768938597429102,-0.15739376325737764
4,824,0.061893203883495146,-0.1064356475826684,-0.10556749890783318
5,824,0.06796116504854369,-0.061579081211936754,-0.061186596497858445
6,824,0.055825242718446605,-0.018651699998502164,-0.018689355068564707
7,824,0.06796116504854369,0.022219176721800096,0.021888561148940965
8,824,0.055825242718446605,0.06276118927593201,0.0634444146159468
9,824,0.06674757281553398,0.10527035876547029,0.10550957254847636
10,824,0.07281553398058252,0.15079329792916882,0.15003736466200818
11,824,0.06674757281553398,0.19995118455483185,0.19971715617328306
12,824,0.06674757281553398,0.2578705905342663,0.2569779076011398
13,824,0.0703883495145631,0.32309273525529225,0.3232244092771729
14,824,0.05825242718446602,0.40609791210279106,0.4038954306699815
15,823,0.053462940461725394,0.5523728360329211,0.5459523864665565
