vent,n,draft_rate,poolq_mean,poolq_median
0,311,0.003215434083601286,-0.6041600275421887,-0.6171717756253046
1,161,0.0,-0.5021635155074102,-0.5034142916219924
2,280,0.010714285714285714,-0.42461197496341485,-0.4215551484159701
3,425,0.0,-0.3572117314638154,-0.36022141067000785
4,608,0.001644736842105263,-0.2747212442885521,-0.27188226889286965
5,1032,0.001937984496124031,-0.19847968999732737,-0.19596185671846963
6,1440,0.00625,-0.12174243400913035,-0.11979249319775982
7,1702,0.005875440658049354,-0.04724939285578038,-0.0457726852004089
8,2157,0.010662957811775614,0.024795406750649694,0.025347124764116893
9,2348,0.012350936967632026,0.10310626038582062,0.10375034343577595
10,2306,0.019080659150043366,0.17650974384953763,0.1763700024140171
11,1967,0.029486527707168277,0.2522571399003337,0.2493844760045628
12,1538,0.0247074122236671,0.3285512872289747,0.32825906442659386
13,1147,0.045335658238884045,0.40268271174508735,0.4002465221241926
14,762,0.08136482939632546,0.4766620153842359,0.47619549464685446
15,528,0.08712121212121213,0.5534488639554767,0.552714453873015
16,380,0.08421052631578947,0.6260185495580801,0.6219457912743949
17,246,0.11788617886178862,0.7051717809632388,0.7038251495802237
18,150,0.21333333333333335,0.7765798370352414,0.7746805895966095
19,315,0.1365079365079365,0.8813018091384092,0.8957970505892947
