vent,n,draft_rate,poolq_mean,poolq_median
0,1238,0.004038772213247173,-0.9011896498926161,-0.8935198699906621
1,1238,0.004846526655896607,-0.574832936571624,-0.5717266763598714
2,1238,0.0032310177705977385,-0.42103446984823495,-0.4165727970560173
3,1237,0.004850444624090542,-0.32577740145805884,-0.3283063338250242
4,1238,0.004846526655896607,-0.24479335546910672,-0.24492800231735715
5,1238,0.007269789983844911,-0.16397420914737287,-0.16411255232950508
6,1237,0.0137429264349232,-0.09455874334778244,-0.09451512766562765
7,1238,0.012116316639741519,-0.031064395092540237,-0.030425220997474543
8,1238,0.013731825525040387,0.03193720046039869,0.03151281067393944
9,1237,0.018593371059013743,0.09657643806092617,0.09550945163623759
10,1238,0.025040387722132473,0.16719602139737064,0.16648889770632472
11,1238,0.033117932148626815,0.2480065369913922,0.2485819547629907
12,1237,0.028294260307194827,0.3390044011786634,0.3376763888049844
13,1238,0.04281098546042003,0.45201596928863813,0.4552189238303152
14,1238,0.08239095315024232,0.6172682020876451,0.6121299843264063
15,1237,0.12126111560226355,0.977833606939721,0.9353304499867581
