vent,n,draft_rate,poolq_mean,poolq_median
0,2383,0.000839278220730172,-0.16363125445858046,-0.15379569972149582
1,2383,0.003357112882920688,-0.06933625549724791,-0.06872732983514855
2,2383,0.00839278220730172,-0.022168363393610974,-0.02277609098165007
3,2382,0.0054575986565911,0.013956930887890469,0.014535265298920408
4,2383,0.007973143096936634,0.04457712800785011,0.04483530694471796
5,2383,0.007553503986571549,0.07056144766359504,0.06990744128617896
6,2382,0.0054575986565911,0.09457616709637562,0.0950937617021064
7,2383,0.009651699538396978,0.1189317298497486,0.11963371483027509
8,2383,0.00839278220730172,0.14128719542162832,0.1416545611774929
9,2382,0.012174643157010915,0.16201177219423724,0.16087218633719835
10,2383,0.013848090642047839,0.18602120825018884,0.18573591352596597
11,2383,0.011330255979857323,0.21239649432699753,0.21344524286814118
12,2382,0.015113350125944584,0.24114456594837969,0.24146108261570579
13,2383,0.020142677297524128,0.2815347619373363,0.2818880810740107
14,2383,0.021821233738984473,0.332205819662636,0.33087313495673937
15,2382,0.02392947103274559,0.4221798209056753,0.40941487520010406
