vent,n,draft_rate,poolq_mean,poolq_median
0,358,0.01675977653631285,-0.3501904818351818,-0.31070835607036373
1,357,0.025210084033613446,-0.15118975585884334,-0.1514842989008018
2,358,0.025139664804469275,-0.0697826362634832,-0.06798952724915888
3,357,0.01680672268907563,0.0006322580649454017,0.0017214363885737181
4,358,0.05027932960893855,0.04935770294325199,0.0527353462436298
5,357,0.028011204481792718,0.08313385352557791,0.08356986533972809
6,358,0.04189944134078212,0.12097730526947534,0.11933562105595108
7,357,0.025210084033613446,0.15626147475489174,0.15504165303251874
8,358,0.08100558659217877,0.19221379586514398,0.19442482041611775
9,357,0.06722689075630252,0.23133702985744803,0.2323756818286523
10,358,0.09497206703910614,0.27034548857593366,0.2714580119802649
11,357,0.0784313725490196,0.3077791077288601,0.3035268942563351
12,358,0.08100558659217877,0.3678143557891637,0.3639061675049992
13,357,0.11484593837535013,0.4355369689590088,0.43348147605570003
14,358,0.1787709497206704,0.5215611767646798,0.5236071028409656
15,357,0.24369747899159663,0.7215528104173408,0.7155648850119624
