vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,5,0,0,0,0.434491,-0.95098,-0.628816,"[-0.951, -0.6288)",-0.804768,-0.802619,coarse,False,True
1,2,44,0,0,6.93889e-18,0.0802983,-0.628816,-0.306652,"[-0.6288, -0.3067)",-0.422921,-0.416996,coarse,False,False
2,3,208,16,0.0769231,0.0479005,0.12129,-0.306652,0.0155124,"[-0.3067, 0.01551)",-0.122431,-0.113927,coarse,False,False
3,4,334,35,0.10479,0.0763161,0.142253,0.0155124,0.337676,"[0.01551, 0.3377)",0.18148,0.186275,coarse,False,False
4,5,267,38,0.142322,0.105477,0.189313,0.337676,0.67558,"[0.3377, 0.6756)",0.483501,0.484171,fine_tail,True,False
5,6,199,41,0.20603,0.15566,0.267536,0.67558,1.01348,"[0.6756, 1.013)",0.806462,0.802522,fine_tail,True,False
6,7,66,18,0.272727,0.180032,0.390425,1.01348,1.35139,"[1.013, 1.351)",1.16719,1.15298,fine_tail,True,False
7,8,34,5,0.147059,0.0644935,0.301284,1.35139,1.68929,"[1.351, 1.689)",1.46866,1.44247,fine_tail,True,False
8,9,11,3,0.272727,0.0974588,0.56565,1.68929,2.02719,"[1.689, 2.027)",1.81188,1.81209,fine_tail,True,True
9,10,8,3,0.375,0.136842,0.694262,2.02719,2.3651,"[2.027, 2.365)",2.21468,2.19848,fine_tail,True,True
10,11,3,0,0,0,0.561506,2.3651,2.703,"[2.365, 2.703)",2.55374,2.47911,fine_tail,True,True
