vent,n,draft_rate,perf_mean,perf_median
0,449,0.0,-1.1978277647713336,-1.1343466141899057
1,449,0.0,-0.811763123604819,-0.808848610828735
2,449,0.0,-0.6262679666189599,-0.6249233166071628
3,449,0.0,-0.49284219423259357,-0.4913609064186679
4,449,0.0,-0.37662748710013344,-0.3751900437671967
5,449,0.0022271714922048997,-0.2674413884661221,-0.26781825564396666
6,449,0.004454342984409799,-0.16934490167679636,-0.16982197276987301
7,449,0.0022271714922048997,-0.07915633588876961,-0.08013004915572122
8,449,0.008908685968819599,0.010456625290710229,0.011352898680423761
9,449,0.008908685968819599,0.10430009701367453,0.10365798870520068
10,449,0.031180400890868598,0.19355743706059061,0.19305403337780358
11,449,0.031180400890868598,0.28865798969118994,0.2883690551660929
12,449,0.044543429844097995,0.381495547115069,0.38117780480874836
13,449,0.051224944320712694,0.4780770005641381,0.47933357605123794
14,449,0.10467706013363029,0.5784789560179382,0.578743131525481
15,449,0.09131403118040089,0.7021692228808325,0.7010364351923495
16,449,0.1514476614699332,0.8361301880765759,0.8339688969638562
17,449,0.19376391982182628,0.9876245851561984,0.989636294004489
18,449,0.24944320712694878,1.19408794850665,1.1899562726563262
19,448,0.38169642857142855,1.6948793565311953,1.5760778999174396
