vent,n,draft_rate,perf_mean,perf_median
0,660,0.0015151515151515152,-1.9064281326622643,-1.8266631070599306
1,659,0.0015174506828528073,-1.3674931033365079,-1.3600383844514852
2,659,0.015174506828528073,-1.1017426965576511,-1.1010178582511936
3,659,0.009104704097116844,-0.898437498713242,-0.8970773201548609
4,659,0.010622154779969651,-0.7266406207697254,-0.7241603259555432
5,659,0.009104704097116844,-0.5803344359205798,-0.5794458771629888
6,660,0.022727272727272728,-0.44330262755900024,-0.44491487799450635
7,659,0.01669195751138088,-0.30413178497327226,-0.30401999273253877
8,659,0.030349013657056147,-0.1760037781474901,-0.17708814101602208
9,659,0.03338391502276176,-0.05166977632883088,-0.05403209446574003
10,659,0.03945371775417299,0.07805013524135236,0.07557659833037161
11,659,0.05918057663125948,0.20362338008862813,0.20461586489570366
12,659,0.05311077389984825,0.33411773169092884,0.3346599430088288
13,660,0.07424242424242425,0.47499783076955177,0.4731621681508248
14,659,0.09104704097116843,0.6259857274003586,0.6261952580430646
15,659,0.11532625189681335,0.7972500031725441,0.7951324040563607
16,659,0.12291350531107739,0.9895838268388409,0.988262953480791
17,659,0.15174506828528073,1.225468649416308,1.2226715793843155
18,659,0.18512898330804248,1.5329087907636516,1.5194997972223476
19,659,0.2959028831562974,2.236856077819098,2.097688249441143
