vent,n,draft_rate,perf_mean,perf_median
0,1381,0.000724112961622013,-1.8109413728862005,-1.7327061671522894
1,1380,0.0036231884057971015,-1.2499739938613832,-1.240631949568413
2,1380,0.008695652173913044,-0.9671097802659563,-0.962394382054828
3,1380,0.010144927536231883,-0.7495820753598069,-0.7463319421078658
4,1380,0.011594202898550725,-0.5612564259716674,-0.5583726563602316
5,1381,0.026792179580014484,-0.387307128893232,-0.38633702873138415
6,1380,0.02391304347826087,-0.22316480676286204,-0.22298083524741688
7,1380,0.03260869565217391,-0.06158352941265024,-0.06312987641315795
8,1380,0.0391304347826087,0.10142479798953567,0.1008683484622976
9,1380,0.06159420289855073,0.26175071614598927,0.2604109009647754
10,1381,0.05720492396813903,0.4374171907484536,0.4364992722303948
11,1380,0.07028985507246377,0.6222100755528847,0.6243179752788655
12,1380,0.10434782608695652,0.8308377102919015,0.8289578843894054
13,1380,0.12246376811594203,1.0813499398963167,1.0775763445403856
14,1380,0.1608695652173913,1.4148696695824554,1.4050317982930922
15,1380,0.28043478260869564,2.1464072707895,1.9932690027248978
