vent,n,draft_rate,perf_mean,perf_median
0,1303,0.0,-1.073773791061919,-1.0006693968073324
1,1303,0.0,-0.6815982860869507,-0.6738237652832032
2,1303,0.0,-0.49925389528232134,-0.4983517734212442
3,1303,0.0,-0.35486202554233104,-0.3540552763697709
4,1303,0.0015349194167306216,-0.2343542325656155,-0.23358759585016736
5,1303,0.0015349194167306216,-0.12723365511451884,-0.12670443162466827
6,1303,0.0007674597083653108,-0.02293360181505043,-0.023015208179071513
7,1302,0.004608294930875576,0.08012500332894779,0.07935445905628816
8,1303,0.010744435917114352,0.18161525941538614,0.18108308407253715
9,1303,0.013814274750575594,0.28430935404869273,0.28322844005721676
10,1303,0.015349194167306216,0.3948412798288496,0.3942016433734127
11,1303,0.03223330775134305,0.5122446888634992,0.5124484592887485
12,1303,0.035303146584804296,0.6431538153188084,0.641038154899874
13,1303,0.06600153491941672,0.8040093063124646,0.8025532055352839
14,1303,0.09900230237912509,1.0189323071975636,1.0135454188459392
15,1302,0.18663594470046083,1.5066404456539588,1.407953748114664
