vent,n,draft_rate,perf_mean,perf_median
0,2730,0.0003663003663003663,-1.9087709165341715,-1.83137184726481
1,2729,0.00036643459142543056,-1.3956629213404592,-1.3892417889320332
2,2729,0.002565042139978014,-1.1384369067160343,-1.135721427165658
3,2729,0.003297911322828875,-0.9420898091474635,-0.9398570549374785
4,2729,0.004763649688530597,-0.7780095371398047,-0.7785959579653455
5,2729,0.003297911322828875,-0.6278020814534816,-0.6287390785059938
6,2729,0.005862953462806889,-0.4911189426289444,-0.4924284268971754
7,2729,0.011359472334188348,-0.3602675213726443,-0.3601660403598398
8,2729,0.008427995602784902,-0.22949147094328398,-0.22970924324180575
9,2729,0.0131916452913155,-0.10262697513896615,-0.10142482762343523
10,2730,0.014285714285714285,0.023986781573800846,0.02504345590815464
11,2729,0.01832172957127153,0.15259515536780863,0.15393283984790634
12,2729,0.025283986808354707,0.2821614927681934,0.2816799335200253
13,2729,0.024184683034078416,0.42225398840839984,0.4214863074468278
14,2729,0.027116159765481863,0.5739209151764378,0.5739439383596405
15,2729,0.03884206669109564,0.7417439622353043,0.7410457935967103
16,2729,0.04727006229388054,0.9322989857320134,0.9304892587059231
17,2729,0.0575302308537926,1.1675386280090285,1.16643906907758
18,2729,0.07621839501648955,1.4830801711704802,1.4756256786573378
19,2729,0.13045071454745327,2.1953876520782054,2.0542153425902
