vent,n,draft_rate,perf_mean,perf_median
0,394,0.0,-2.0310318221423596,-1.9554041311407946
1,393,0.0,-1.458030302683606,-1.4547126165208457
2,393,0.0,-1.185147778637642,-1.1833555026116416
3,393,0.0,-0.9776074975558078,-0.9777686117273816
4,393,0.0,-0.7975041287805537,-0.8000757694316781
5,394,0.0,-0.6293001649494911,-0.6309281348512799
6,393,0.002544529262086514,-0.4749801412781856,-0.47968307676803007
7,393,0.005089058524173028,-0.3233346914035614,-0.3256472143293209
8,393,0.007633587786259542,-0.17864390086622986,-0.17902656185952856
9,393,0.007633587786259542,-0.03318654947528223,-0.03390446167499446
10,394,0.027918781725888325,0.11143022710608813,0.10881698630090479
11,393,0.043256997455470736,0.2530261504513723,0.2537743483829052
12,393,0.035623409669211195,0.3993073958039993,0.4020319810515288
13,393,0.05597964376590331,0.5541909663998603,0.5554119394850408
14,393,0.08651399491094147,0.7151455918221298,0.712090171172004
15,394,0.1065989847715736,0.9006011811441406,0.9062278628371602
16,393,0.1450381679389313,1.1155768780866493,1.1151615141521105
17,393,0.19083969465648856,1.3558915070154092,1.3466872105206744
18,393,0.22646310432569974,1.6763382927086887,1.667172451031784
19,393,0.3816793893129771,2.4042098659972795,2.2674345174512767
