vent,n,draft_rate,perf_mean,perf_median
0,2895,0.0003454231433506045,-1.8365393462347575,-1.7628688112524564
1,2894,0.000691085003455425,-1.2881719580390494,-1.281798063871265
2,2894,0.0038009675190048375,-1.0105681356052605,-1.0080057835912608
3,2894,0.004492052522460262,-0.7946983813255079,-0.7941120234324539
4,2894,0.0038009675190048375,-0.6076250897578878,-0.6078144709474673
5,2894,0.007947477539737388,-0.44146419621441896,-0.44249077664921166
6,2894,0.007601935038009675,-0.2767449006797694,-0.2772060113684372
7,2894,0.013130615065653075,-0.11750939804814563,-0.11527939470085621
8,2895,0.013471502590673576,0.04020295529630333,0.038950883670935785
9,2894,0.021423635107118175,0.2002563062996546,0.19919994723547207
10,2894,0.02073255010366275,0.36762035665936804,0.3688560066836467
11,2894,0.029371112646855563,0.5522557217285158,0.550369412858452
12,2894,0.041810642709053214,0.7647950167878834,0.7647597437375706
13,2894,0.04630269523151347,1.014610258793324,1.011211278453049
14,2894,0.06530753282653766,1.3515842935770002,1.3414612513401418
15,2894,0.11126468555632343,2.0826172073332176,1.9486831784845213
