vent,n,draft_rate,perf_mean,perf_median
0,1104,0.0009057971014492754,-1.8171630436095114,-1.7390613439373483
1,1104,0.004528985507246377,-1.252449755687988,-1.241248158582649
2,1104,0.009057971014492754,-0.970969530812511,-0.9691256568159988
3,1103,0.009972801450589302,-0.7494155251803735,-0.7462932943545537
4,1104,0.01177536231884058,-0.56314975853079,-0.5607289979028551
5,1104,0.024456521739130436,-0.3907406194287628,-0.38901609043676777
6,1103,0.02901178603807797,-0.2255829323700536,-0.22584898709755138
7,1104,0.029891304347826088,-0.06590522195519266,-0.06601919584555702
8,1104,0.03713768115942029,0.09697022770492142,0.09742129441912128
9,1103,0.06527651858567543,0.2539617940839672,0.25168656543877593
10,1104,0.058876811594202896,0.42825474556232895,0.42800751931919334
11,1104,0.07608695652173914,0.6146061432822016,0.6149296843872201
12,1103,0.10879419764279238,0.8252714528317028,0.8233660268015285
13,1104,0.125,1.0727539452347383,1.0698318040341355
14,1104,0.15942028985507245,1.402002582464806,1.3919397126795316
15,1103,0.27651858567543064,2.130416969290324,1.9870020003280826
