vent,n,draft_rate,perf_mean,perf_median
0,770,0.0,-0.9766720260597451,-0.9187517036149857
1,770,0.0,-0.6122090759205518,-0.6138033502036313
2,770,0.0,-0.44359469274189245,-0.4440588151730196
3,770,0.0,-0.31051526473512325,-0.3094462308840527
4,770,0.0,-0.19962662550908777,-0.2000894243757202
5,770,0.0,-0.09780171648535432,-0.0969725881393103
6,770,0.0025974025974025974,0.002086314741952441,0.004199306171704496
7,769,0.0039011703511053317,0.09564436313803326,0.09427668776813883
8,770,0.01038961038961039,0.1916067762080167,0.19047831218347674
9,770,0.01818181818181818,0.28563746323517214,0.28379858886559695
10,770,0.02207792207792208,0.38759867580225443,0.3869651755364414
11,770,0.03896103896103896,0.49633976529893786,0.4953729280332667
12,770,0.05454545454545454,0.6226494112283624,0.622806281645939
13,770,0.07272727272727272,0.7738869272524228,0.773663075770637
14,770,0.12077922077922078,0.9731106480480662,0.9658823321778104
15,769,0.19895968790637192,1.4109562921176106,1.321242647346303
