vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,edge_interval
0,227,3,0.013215859030837005,-0.5731263370369113,-0.575478240754715,-0.6070657618618239,-0.5263798340065688,1,-0.6070657618618239,-0.5244320653672412,-0.5657489136145326,"[-0.6071, -0.5244)"
1,422,8,0.018957345971563982,-0.4773891756970742,-0.47486674150496805,-0.5242152724437577,-0.4421749215265971,2,-0.5244320653672412,-0.44179836887265833,-0.48311521711994976,"[-0.5244, -0.4418)"
2,947,7,0.007391763463569166,-0.3959199049665488,-0.3944912148610635,-0.44173964409369215,-0.3591769062560758,3,-0.44179836887265833,-0.35916467237807553,-0.4004815206253669,"[-0.4418, -0.3592)"
3,1769,19,0.010740531373657434,-0.31323251241688815,-0.3102127714600719,-0.3591491099512029,-0.2766197649582128,4,-0.35916467237807553,-0.27653097588349274,-0.31784782413078416,"[-0.3592, -0.2765)"
4,3160,44,0.013924050632911392,-0.23151459045978592,-0.2298502022813098,-0.2764844394476288,-0.19390392824750693,5,-0.27653097588349274,-0.19389727938890994,-0.23521412763620134,"[-0.2765, -0.1939)"
5,5333,58,0.010875679729983124,-0.1500116445896767,-0.14913887372799509,-0.19378634883579943,-0.11128228800066739,6,-0.19389727938890994,-0.11126358289432714,-0.15258043114161854,"[-0.1939, -0.1113)"
6,7397,82,0.01108557523320265,-0.06840528591730854,-0.06745984820374677,-0.11124175498818646,-0.028670170603324475,7,-0.11126358289432714,-0.028629886399744398,-0.06994673464703577,"[-0.1113, -0.02863)"
7,8910,99,0.011111111111111112,0.01355138043387147,0.013769364812471912,-0.028620397584854226,0.05399025421828036,8,-0.028629886399744398,0.054003810094838456,0.01268696184754703,"[-0.02863, 0.054)"
8,9105,93,0.010214168039538715,0.09486597988719365,0.09470964591443466,0.054011149713061715,0.13663016037461656,9,0.054003810094838456,0.1366375065894213,0.09532065834212988,"[0.054, 0.1366)"
9,7342,78,0.010623808226641242,0.1747657294506898,0.17389486405232582,0.13664553462583817,0.21926660466938128,10,0.1366375065894213,0.21927120308400405,0.17795435483671268,"[0.1366, 0.2193)"
10,4534,49,0.010807234230260256,0.2572005786541819,0.25558160427659016,0.21930006867784704,0.3019001857012061,11,0.21927120308400405,0.3019048995785868,0.2605880513312954,"[0.2193, 0.3019)"
11,2430,35,0.01440329218106996,0.33943950046143356,0.33797772708044393,0.301969212702693,0.38440134242876095,12,0.3019048995785868,0.38453859607316965,0.3432217478258782,"[0.3019, 0.3845)"
12,1307,15,0.011476664116296864,0.42233603644831175,0.4205462437335195,0.384581305459973,0.46711790994002983,13,0.38453859607316965,0.4671722925677525,0.4258554443204611,"[0.3845, 0.4672)"
13,755,11,0.01456953642384106,0.5054641638169394,0.5020421433484628,0.4671980464279279,0.549781869414892,14,0.4671722925677525,0.5498059890623351,0.5084891408150438,"[0.4672, 0.5498)"
14,384,4,0.010416666666666666,0.5855483113228014,0.5834781721774345,0.5499884418601672,0.6323971770718344,15,0.5498059890623351,0.632439685556918,0.5911228373096266,"[0.5498, 0.6324)"
15,560,4,0.007142857142857143,0.6965194431071565,0.715073382051501,0.6326584407380289,0.715073382051501,16,0.632439685556918,0.715073382051501,0.6737565338042095,"[0.6324, 0.7151)"
