vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,edge_interval
0,125,7,0.056,-0.5941443032786635,-0.6140188028352481,-0.6140188028352481,-0.5354198085180297,1,-0.6140188028352481,-0.5353504394726262,-0.5746846211539371,"[-0.614, -0.5354)"
1,118,12,0.1016949152542373,-0.491419464326639,-0.4875766733393016,-0.5343397865921983,-0.4571774379082051,2,-0.5353504394726262,-0.4566820761100043,-0.4960162577913152,"[-0.5354, -0.4567)"
2,220,25,0.11363636363636363,-0.4107985169312332,-0.4112489226599342,-0.45644847066542193,-0.3781880299091928,3,-0.4566820761100043,-0.3780137127473824,-0.41734789442869336,"[-0.4567, -0.378)"
3,400,29,0.0725,-0.33699781201734447,-0.3351806923719421,-0.37739609123559864,-0.29946458513727087,4,-0.3780137127473824,-0.29934534938476043,-0.3386795310660714,"[-0.378, -0.2993)"
4,536,36,0.06716417910447761,-0.2589206539030816,-0.2576000264167394,-0.29925883058841685,-0.22090977738655646,5,-0.29934534938476043,-0.22067698602213848,-0.26001116770344945,"[-0.2993, -0.2207)"
5,791,65,0.08217446270543616,-0.1794983810263228,-0.17805136794001575,-0.22066715579473312,-0.14214112413556154,6,-0.22067698602213848,-0.14200862265951658,-0.18134280434082753,"[-0.2207, -0.142)"
6,1002,49,0.04890219560878244,-0.10110118731460266,-0.10029648729210962,-0.1419720139020058,-0.06347453931122347,7,-0.14200862265951658,-0.06334025929689469,-0.10267444097820563,"[-0.142, -0.06334)"
7,1100,73,0.06636363636363636,-0.023811838979264335,-0.022979382568389026,-0.06333639427831915,0.015297607660732293,8,-0.06334025929689469,0.015328104065727266,-0.02400607761558371,"[-0.06334, 0.01533)"
8,1163,69,0.05932932072226999,0.05451764220165719,0.05415623659564095,0.015375473012158603,0.09399117670385948,9,0.015328104065727266,0.09399646742834922,0.05466228574703824,"[0.01533, 0.094)"
9,1031,66,0.06401551891367604,0.1324977305132758,0.132461696921306,0.0940127579841001,0.17258090942905743,10,0.09399646742834922,0.17266483079097117,0.1333306491096602,"[0.094, 0.1727)"
10,866,53,0.061200923787528866,0.2109282657812818,0.21119255179295576,0.17268899022405848,0.25127303511961485,11,0.17266483079097117,0.251333194153593,0.2119990124722821,"[0.1727, 0.2513)"
11,734,43,0.05858310626702997,0.2893481774516836,0.2884391080875516,0.2513455616526757,0.329949299134387,12,0.251333194153593,0.33000155751621496,0.290667375834904,"[0.2513, 0.33)"
12,558,36,0.06451612903225806,0.3681809391947109,0.3676150764411235,0.3301284551397614,0.4086260058413167,13,0.33000155751621496,0.4086699208788368,0.3693357391975259,"[0.33, 0.4087)"
13,334,26,0.07784431137724551,0.4461776364920703,0.4447654101963304,0.40869767395404905,0.48730248397314774,14,0.4086699208788368,0.48733828424145875,0.4480041025601478,"[0.4087, 0.4873)"
14,248,13,0.05241935483870968,0.5257070942140073,0.523360095135441,0.4875922128104152,0.5656246411870083,15,0.48733828424145875,0.5660066476040807,0.5266724659227697,"[0.4873, 0.566)"
15,257,13,0.05058365758754864,0.6203005264921042,0.6300440501766204,0.5674168371702758,0.6446750109667025,16,0.5660066476040807,0.6446750109667025,0.6053408292853917,"[0.566, 0.6447)"
