vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,edge_interval
0,94,3,0.031914893617021274,-0.5779343660128924,-0.5842106934217677,-0.6070657618618239,-0.5263798340065688,1,-0.6070657618618239,-0.5244320653672412,-0.5657489136145326,"[-0.6071, -0.5244)"
1,139,8,0.05755395683453238,-0.47734227603250995,-0.47610253733529445,-0.5242152724437577,-0.4428960567104195,2,-0.5244320653672412,-0.44179836887265833,-0.48311521711994976,"[-0.5244, -0.4418)"
2,278,7,0.025179856115107913,-0.3945875952794266,-0.3925626145069493,-0.44173964409369215,-0.3591769062560758,3,-0.44179836887265833,-0.35916467237807553,-0.4004815206253669,"[-0.4418, -0.3592)"
3,530,19,0.035849056603773584,-0.3128597632449496,-0.30906280203819203,-0.35902353880147864,-0.2768635502135902,4,-0.35916467237807553,-0.27653097588349274,-0.31784782413078416,"[-0.3592, -0.2765)"
4,1015,44,0.04334975369458128,-0.23090865465981114,-0.22978675588932368,-0.2764172730308844,-0.19390392824750693,5,-0.27653097588349274,-0.19389727938890994,-0.23521412763620134,"[-0.2765, -0.1939)"
5,1966,58,0.029501525940996948,-0.14930452421906873,-0.14741120871331445,-0.19366069577988118,-0.11128228800066739,6,-0.19389727938890994,-0.11126358289432714,-0.15258043114161854,"[-0.1939, -0.1113)"
6,2586,82,0.0317092034029389,-0.06936563160129083,-0.06911989699445933,-0.11123663952386535,-0.028670170603324475,7,-0.11126358289432714,-0.028629886399744398,-0.06994673464703577,"[-0.1113, -0.02863)"
7,3090,99,0.03203883495145631,0.014992220059167742,0.01594472639046597,-0.028620397584854226,0.05399025421828036,8,-0.028629886399744398,0.054003810094838456,0.01268696184754703,"[-0.02863, 0.054)"
8,3492,93,0.02663230240549828,0.0953137925017148,0.0951808247834568,0.054011149713061715,0.1366240284742765,9,0.054003810094838456,0.1366375065894213,0.09532065834212988,"[0.054, 0.1366)"
9,3052,78,0.025557011795543906,0.17533592448814408,0.1745866199825811,0.1366846194786123,0.21914044708764877,10,0.1366375065894213,0.21927120308400405,0.17795435483671268,"[0.1366, 0.2193)"
10,2117,49,0.023145961265942372,0.25795638799526693,0.25641555536696287,0.21930941581624386,0.3019001857012061,11,0.21927120308400405,0.3019048995785868,0.2605880513312954,"[0.2193, 0.3019)"
11,1152,35,0.030381944444444444,0.3391474319773854,0.3375355174059783,0.30202442742407976,0.38440134242876095,12,0.3019048995785868,0.38453859607316965,0.3432217478258782,"[0.3019, 0.3845)"
12,621,15,0.024154589371980676,0.4225384496904471,0.42095270390928996,0.384796410298548,0.46711790994002983,13,0.38453859607316965,0.4671722925677525,0.4258554443204611,"[0.3845, 0.4672)"
13,364,11,0.03021978021978022,0.5041192828574367,0.501045751222967,0.4671980464279279,0.5494997767088907,14,0.4671722925677525,0.5498059890623351,0.5084891408150438,"[0.4672, 0.5498)"
14,150,4,0.02666666666666667,0.5824035147833643,0.5801968618629175,0.5499884418601672,0.6312230424683374,15,0.5498059890623351,0.632439685556918,0.5911228373096266,"[0.5498, 0.6324)"
15,200,4,0.02,0.6955871294377566,0.715073382051501,0.6326584407380289,0.715073382051501,16,0.632439685556918,0.715073382051501,0.6737565338042095,"[0.6324, 0.7151)"
