vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,edge_interval
0,945,12,0.012698412698412698,-0.5994033280153084,-0.6140188028352481,-0.6140188028352481,-0.5511567393898447,1,-0.6140188028352481,-0.5510841121451506,-0.5825514574901993,"[-0.614, -0.5511)"
1,708,10,0.014124293785310734,-0.5167236460783562,-0.5160479792762853,-0.5510386766482277,-0.48818364754609866,2,-0.5510841121451506,-0.488149421455053,-0.5196167668001018,"[-0.5511, -0.4881)"
2,1164,27,0.023195876288659795,-0.4550929805768379,-0.4538274053642365,-0.4881261715817828,-0.42535173578136043,3,-0.488149421455053,-0.42521473076495553,-0.4566820761100043,"[-0.4881, -0.4252)"
3,1707,44,0.025776215582893967,-0.39194524629364696,-0.3910653809301248,-0.42519863957695125,-0.3622807822827551,4,-0.42521473076495553,-0.362280040074858,-0.3937473854199067,"[-0.4252, -0.3623)"
4,2518,53,0.021048451151707705,-0.3292667019723078,-0.32922285628771675,-0.36217173615716475,-0.29939694711327647,5,-0.362280040074858,-0.29934534938476043,-0.33081269472980923,"[-0.3623, -0.2993)"
5,3115,72,0.023113964686998396,-0.26595339327034406,-0.26511130475258854,-0.29925883058841685,-0.23641072542053487,6,-0.29934534938476043,-0.23641065869466293,-0.2678780040397117,"[-0.2993, -0.2364)"
6,3942,77,0.019533231861998984,-0.20413975310295773,-0.20433618547272653,-0.23640432712504503,-0.1734817131837437,7,-0.23641065869466293,-0.17347596800456538,-0.20494331334961416,"[-0.2364, -0.1735)"
7,4691,115,0.024515028778512044,-0.14179583002664192,-0.1415213035900881,-0.17345080542131974,-0.11056356000963681,8,-0.17347596800456538,-0.11054127731446783,-0.1420086226595166,"[-0.1735, -0.1105)"
8,5175,115,0.022222222222222223,-0.0789901200652343,-0.07906163624029677,-0.11052328086836709,-0.04760692541918609,9,-0.11054127731446783,-0.04760658662437034,-0.07907393196941909,"[-0.1105, -0.04761)"
9,5160,108,0.020930232558139535,-0.01608273659857189,-0.01603672449319423,-0.047597108940902154,0.01532560073048981,10,-0.04760658662437034,0.015328104065727266,-0.016139241279321537,"[-0.04761, 0.01533)"
10,5028,128,0.02545743834526651,0.04636840010542604,0.04605023824155936,0.015375473012158603,0.07824988957515407,11,0.015328104065727266,0.07826279475582476,0.04679544941077601,"[0.01533, 0.07826)"
11,4582,123,0.026844172850283718,0.10863937861829047,0.10813366563051602,0.07828034012881553,0.14119607933280487,12,0.07826279475582476,0.14119748544592226,0.10973014010087351,"[0.07826, 0.1412)"
12,3933,116,0.02949402491736588,0.17191366842059044,0.171689511857171,0.14119902438375284,0.20411902545872182,13,0.14119748544592226,0.20413217613601986,0.17266483079097106,"[0.1412, 0.2041)"
13,3173,94,0.02962496060510558,0.23474557950344976,0.23434799342448903,0.2041322867143287,0.2670324857755332,14,0.20413217613601986,0.26706686682611736,0.2355995214810686,"[0.2041, 0.2671)"
14,2645,90,0.034026465028355386,0.2975450815722526,0.2969489948149361,0.267076298036086,0.329970828444792,15,0.26706686682611736,0.33000155751621496,0.29853421217116616,"[0.2671, 0.33)"
15,2018,75,0.037165510406342916,0.36042794406006107,0.3594742702942341,0.33001505241398654,0.3929099535349838,16,0.33000155751621496,0.39293624820631246,0.3614689028612637,"[0.33, 0.3929)"
16,1447,47,0.03248099516240498,0.4225696830054487,0.42141348130214573,0.3929379674213363,0.45586049443216253,17,0.39293624820631246,0.45587093889641006,0.42440359355136126,"[0.3929, 0.4559)"
17,981,32,0.0326197757390418,0.4856295031503184,0.48473126629676133,0.45604993006396816,0.518747126167727,18,0.45587093889641006,0.5188056295865074,0.48733828424145875,"[0.4559, 0.5188)"
18,635,22,0.03464566929133858,0.5478799651279741,0.546607577088515,0.5188193708271308,0.5816109761603638,19,0.5188056295865074,0.581740320276605,0.5502729749315562,"[0.5188, 0.5817)"
19,1015,40,0.03940886699507389,0.6290640376350863,0.6446750109667025,0.5818607254657344,0.6446750109667025,20,0.581740320276605,0.6446750109667025,0.6132076656216539,"[0.5817, 0.6447)"
