vent,n,draft_rate,poolq_mean,poolq_median
0,23,0.0,-0.5605455607990006,-0.5617553157962573
1,36,0.027777777777777776,-0.49130496627828407,-0.4904438605758952
2,79,0.0,-0.4309696274669627,-0.4298266638004779
3,138,0.043478260869565216,-0.36549000188827335,-0.36452463584689393
4,274,0.021897810218978103,-0.30569957600474684,-0.3034123851035961
5,540,0.037037037037037035,-0.24300648062361144,-0.2414347254273546
6,934,0.028907922912205567,-0.182275420759858,-0.18079736356266884
7,1448,0.029696132596685083,-0.12062945458714865,-0.11936071549468877
8,1812,0.02262693156732892,-0.060106672861548444,-0.05980732112800727
9,2164,0.02033271719038817,0.001315967237450859,0.001626018260117012
10,2347,0.0293992330634853,0.06289251686197143,0.06278710943793024
11,2227,0.018859452177817693,0.12465434349697331,0.12455481906490785
12,1703,0.023487962419260128,0.18471176040213022,0.1833078819606134
13,1152,0.0234375,0.24740019022126333,0.24663204165856611
14,712,0.028089887640449437,0.30859873822111245,0.3078323955535682
15,485,0.030927835051546393,0.3710600228427626,0.3701833979204516
16,288,0.013888888888888888,0.432106534693352,0.42973364214098275
17,185,0.043243243243243246,0.4935546413914736,0.4901813222355113
18,110,0.02727272727272727,0.556010257687918,0.5535685373948278
19,179,0.0111731843575419,0.6414138039590631,0.6517473082040903
