vent,n,draft_rate,poolq_mean,poolq_median
0,59,0.0,-0.5676478285002419,-0.5780697867906865
1,72,0.013888888888888888,-0.48999987418300794,-0.48446893128202184
2,149,0.0,-0.42943074153455063,-0.42651406488336174
3,270,0.022222222222222223,-0.3678690197595967,-0.3667579119831331
4,586,0.010238907849829351,-0.30523775025158034,-0.30298403347256925
5,1095,0.0182648401826484,-0.24340011906660958,-0.24224215184670755
6,1967,0.013726487036095577,-0.18189883043398739,-0.1805823733854192
7,3124,0.013764404609475032,-0.12083757869764732,-0.1197765093039216
8,4034,0.010163609320773426,-0.060160842321541244,-0.05999917306057701
9,4885,0.009007164790174002,0.0015286128166301682,0.0020748225502659427
10,5407,0.012761235435546513,0.06314029428962786,0.06324273044593084
11,5330,0.007879924953095686,0.12451879978328095,0.12440849351217254
12,4063,0.009844942160964805,0.18485220502128222,0.18347214670800793
13,2721,0.009922822491730982,0.24721188018873305,0.24638763143128375
14,1695,0.011799410029498525,0.30764360449694395,0.30609139137302543
15,1040,0.014423076923076924,0.3697642390067661,0.367939400612637
16,631,0.006339144215530904,0.43254560010964654,0.43109183269233003
17,383,0.020887728459530026,0.49415293687556594,0.49202393734117933
18,234,0.01282051282051282,0.5558428033513844,0.5540311782366395
19,378,0.005291005291005291,0.6404741276202189,0.6517473082040903
