vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,edge_interval
0,27,3,0.1111111111111111,-0.5792099000655405,-0.5802264801979988,-0.6070657618618239,-0.5410699886230163,1,-0.6070657618618239,-0.5409588046661576,-0.5740122832639908,"[-0.6071, -0.541)"
1,32,6,0.1875,-0.5074939978392891,-0.5109555103752745,-0.5391484193979735,-0.4782841883191444,2,-0.5409588046661576,-0.4748518474704915,-0.5079053260683246,"[-0.541, -0.4749)"
2,47,2,0.0425531914893617,-0.43712533576008555,-0.43523095090424213,-0.4709352908247917,-0.40877703737860605,3,-0.4748518474704915,-0.4087448902748252,-0.44179836887265833,"[-0.4749, -0.4087)"
3,116,12,0.10344827586206896,-0.3722539816510983,-0.37143619440375164,-0.4061132524714406,-0.342781962574296,4,-0.4087448902748252,-0.34263793307915896,-0.37569141167699205,"[-0.4087, -0.3426)"
4,188,14,0.07446808510638298,-0.30862741956282763,-0.30748622498253375,-0.3413927606549011,-0.27735639320534183,5,-0.34263793307915896,-0.27653097588349274,-0.3095844544813259,"[-0.3426, -0.2765)"
5,326,35,0.10736196319018405,-0.24048587284708273,-0.23875285129505464,-0.2761740858700287,-0.21104712674323456,6,-0.27653097588349274,-0.21042401868782645,-0.2434774972856596,"[-0.2765, -0.2104)"
6,565,38,0.06725663716814159,-0.17384996631306637,-0.1705715369970964,-0.21034479072461693,-0.14462667124006548,7,-0.21042401868782645,-0.14431706149216023,-0.17737054008999334,"[-0.2104, -0.1443)"
7,900,59,0.06555555555555556,-0.11027126577900805,-0.10969653523844874,-0.14419176389729865,-0.07824688231792085,8,-0.14431706149216023,-0.078210104296494,-0.11126358289432711,"[-0.1443, -0.07821)"
8,947,70,0.07391763463569166,-0.04489343904251319,-0.04489047360810056,-0.07803467133786432,-0.012127329076783629,9,-0.078210104296494,-0.012103147100827716,-0.04515662569866086,"[-0.07821, -0.0121)"
9,1107,81,0.07317073170731707,0.022989571224593632,0.023714155352177586,-0.012001553238439377,0.05392645237825061,10,-0.012103147100827716,0.054003810094838456,0.02095033149700537,"[-0.0121, 0.054)"
10,1192,76,0.06375838926174497,0.0866231853263497,0.08754021989739531,0.05405112146070083,0.12010217745585104,11,0.054003810094838456,0.12011076729050474,0.0870572886926716,"[0.054, 0.1201)"
11,1109,60,0.05410279531109107,0.15236859346291154,0.15138478261222205,0.12028337048942038,0.1861156105235128,12,0.12011076729050474,0.18621772448617102,0.15316424588833788,"[0.1201, 0.1862)"
12,884,61,0.06900452488687783,0.21736954898705174,0.21684642353579103,0.1862539764771831,0.252322587687736,13,0.18621772448617102,0.2523246816818372,0.2192712030840041,"[0.1862, 0.2523)"
13,621,31,0.0499194847020934,0.28257779581588766,0.28092408547197867,0.2524343230790603,0.3182559684101224,14,0.2523246816818372,0.3184316388775035,0.28537816027967033,"[0.2523, 0.3184)"
14,359,27,0.07520891364902507,0.3494281832190757,0.3488805237447504,0.3185145819422988,0.38438250078632047,15,0.3184316388775035,0.38453859607316965,0.35148511747533656,"[0.3184, 0.3845)"
15,203,12,0.059113300492610835,0.4131534055601346,0.4113288205092225,0.3849191731824225,0.450494759940892,16,0.38453859607316965,0.45064555326883593,0.4175920746710028,"[0.3845, 0.4506)"
16,155,12,0.07741935483870968,0.482969893678439,0.4842570799158038,0.45188990726511036,0.5164292190284492,17,0.45064555326883593,0.5167525104645022,0.48369903186666907,"[0.4506, 0.5168)"
17,80,4,0.05,0.5469227893358977,0.5467123682415281,0.5169301709381406,0.5827226099284418,18,0.5167525104645022,0.5828594676601685,0.5498059890623354,"[0.5168, 0.5829)"
18,41,2,0.04878048780487805,0.6093845749042618,0.604635394758428,0.5830945312193144,0.6484298906559051,19,0.5828594676601685,0.6489664248558346,0.6159129462580015,"[0.5829, 0.649)"
19,80,4,0.05,0.7003279110788319,0.715073382051501,0.6499115099616869,0.715073382051501,20,0.6489664248558346,0.715073382051501,0.6820199034536678,"[0.649, 0.7151)"
