vent,n,draft_rate,poolq_mean,poolq_median
0,190,0.04736842105263158,-0.6028910721008764,-0.6174895790319825
1,138,0.06521739130434782,-0.5193454162645498,-0.5178967106878166
2,256,0.09765625,-0.45754394344480204,-0.4561013937575302
3,407,0.07616707616707617,-0.3939533841528701,-0.39201367209201055
4,623,0.07223113964686999,-0.33241904076740914,-0.33224082113383246
5,809,0.06674907292954264,-0.2706782365531451,-0.2705794625915094
6,1007,0.06256206554121152,-0.20783655954372177,-0.2084959604828794
7,1337,0.07105459985041136,-0.1454118006356079,-0.14537916993245695
8,1571,0.062380649267982174,-0.0816324052878477,-0.08101065533685456
9,1625,0.060307692307692305,-0.019287407051070567,-0.019106503412490126
10,1727,0.05790387955993052,0.04284581436415351,0.0422565799743132
11,1548,0.06266149870801034,0.10559175301365441,0.10560049576239273
12,1438,0.06675938803894298,0.1687402192677101,0.16896759328465843
13,1236,0.059870550161812294,0.23108944088824263,0.22996205383832086
14,1056,0.061553030303030304,0.29437939284600256,0.29433213856758933
15,842,0.07363420427553444,0.3568277228944706,0.3551990586893592
16,635,0.05984251968503937,0.41826911611575607,0.41695652398578853
17,446,0.06053811659192825,0.48373516337737515,0.48367150970446615
18,317,0.05993690851735016,0.5437747756725516,0.5420919996757018
19,451,0.06208425720620843,0.6240099980567866,0.6410846369689107
