vent,n,draft_rate,poolq_mean,poolq_median
0,25,0.0,-0.5806764654886112,-0.5876441854907056
1,21,0.047619047619047616,-0.48863102131934955,-0.48240091668118623
2,40,0.0,-0.4264672154488345,-0.42212448576153516
3,82,0.07317073170731707,-0.3687697157842937,-0.3709085524882336
4,213,0.028169014084507043,-0.30467758511044357,-0.3014747899001058
5,343,0.05830903790087463,-0.2442607043242628,-0.24417778390187592
6,670,0.04029850746268657,-0.18118639585189222,-0.1800272737342669
7,1047,0.041069723018147083,-0.12155688900764976,-0.12191086336907278
8,1172,0.03498293515358362,-0.06149854657215745,-0.06197764137664079
9,1342,0.03278688524590164,0.0023595525859988727,0.002941077875051521
10,1659,0.04159132007233273,0.06359918947450725,0.06364067352999433
11,1725,0.02434782608695652,0.1248589381597472,0.12541022380100197
12,1332,0.03003003003003003,0.18502921066359523,0.18341779187309643
13,966,0.027950310559006212,0.24833141691381616,0.24779148160876857
14,693,0.02886002886002886,0.3078874070151397,0.3059289340659225
15,399,0.03759398496240601,0.3694927515839471,0.36842908371609673
16,235,0.01702127659574468,0.4323397567451822,0.43129162729540815
17,154,0.05194805194805195,0.49432902982522786,0.49394949050049725
18,90,0.03333333333333333,0.5553879386036578,0.5537553822243486
19,110,0.01818181818181818,0.643499571104498,0.6517473082040903
