vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display
0,1425,37,0.025964912280701753,-0.370427302536328,-0.3514759393027086,-0.6070657618618239,-0.272919725546705,1
1,1425,46,0.032280701754385965,-0.228094865126481,-0.22565847554826549,-0.2728026123443173,-0.19024176735739276,2
2,1425,31,0.02175438596491228,-0.16182177650929166,-0.16102112539401417,-0.1902318382657232,-0.13653203362929342,3
3,1424,45,0.03160112359550562,-0.11380796186038297,-0.11337072868019091,-0.1364269342324676,-0.09293711837016487,4
4,1425,38,0.02666666666666667,-0.07394634770689044,-0.07379561908140778,-0.09292692720802892,-0.055614914388888166,5
5,1425,30,0.021052631578947368,-0.03796173044747244,-0.03797963211280432,-0.05560142399131303,-0.02062075469530792,6
6,1424,33,0.023174157303370788,-0.00495247135892178,-0.005091065998179117,-0.02060165901269799,0.010564610688535028,7
7,1425,39,0.02736842105263158,0.02672483279313658,0.02696656684187543,0.010564843289143136,0.042385221814915004,8
8,1425,42,0.029473684210526315,0.05688478725141798,0.05700805439721637,0.04239530533389099,0.07224930613252509,9
9,1424,36,0.025280898876404494,0.0875960830602624,0.08770611323844063,0.07225907611691457,0.10279854676976607,10
10,1425,36,0.02526315789473684,0.1194855839105016,0.11934917162022353,0.10280913099807912,0.13650216262482223,11
11,1425,27,0.018947368421052633,0.1528825525654739,0.1525843025403137,0.13653892987889832,0.17059385923347278,12
12,1424,47,0.03300561797752809,0.19119934966685675,0.1908025298053851,0.17067560956431788,0.21365813891018307,13
13,1425,37,0.025964912280701753,0.24112054091487983,0.2403174402334936,0.21366570837286902,0.27091471549208107,14
14,1425,45,0.031578947368421054,0.31480264507479394,0.3123908596715718,0.2709670033023253,0.3687475970809663,15
15,1424,40,0.028089887640449437,0.4983937314147988,0.4689683096087429,0.36886087728895156,0.715073382051501,16
