vent,n,draft_rate,poolq_mean,poolq_median
0,1238,0.020193861066235864,-0.512773791841891,-0.5000660895342953
1,1238,0.024232633279483037,-0.36022737271544686,-0.35871941344100206
2,1238,0.025040387722132473,-0.2794805428462543,-0.27892189056532823
3,1237,0.021018593371059015,-0.21718288071779182,-0.21688414592859384
4,1238,0.03150242326332795,-0.16564194694112103,-0.16512306823636616
5,1238,0.021809369951534735,-0.1193902291372725,-0.119880446022191
6,1237,0.025869037995149554,-0.07472807011531538,-0.07409479792926142
7,1238,0.02665589660743134,-0.03325462895199156,-0.03311768980553064
8,1238,0.02827140549273021,0.008327703987391128,0.008865796454805647
9,1237,0.019401778496362168,0.05102622344599799,0.05058921720477278
10,1238,0.033925686591276254,0.09425965348803003,0.09341516992797444
11,1238,0.02665589660743134,0.14332899959154835,0.14311488518328655
12,1237,0.03233629749393695,0.1998989450077742,0.199326554954896
13,1238,0.024232633279483037,0.2680711287136839,0.26786508658046837
14,1238,0.02827140549273021,0.35588198278492295,0.3535896915272061
15,1237,0.030719482619240096,0.5254033273250134,0.5139518982224912
