vent,n,draft_rate,poolq_mean,poolq_median
0,460,0.10652173913043478,-0.32946989064778354,-0.30234953543326065
1,460,0.07608695652173914,-0.18838945368650478,-0.18649497019878392
2,460,0.06304347826086956,-0.13273980054964057,-0.13255527872451128
3,460,0.06739130434782609,-0.09265989990721762,-0.09272181049898448
4,460,0.08043478260869565,-0.054310436355426935,-0.054402582699247436
5,460,0.06086956521739131,-0.014916292915586942,-0.01433917031981797
6,460,0.09347826086956522,0.019689122192127633,0.020736613474911153
7,460,0.0782608695652174,0.05063574308406388,0.05033921288808969
8,460,0.08260869565217391,0.07913733114165283,0.07891534730839868
9,460,0.05217391304347826,0.10834545585589303,0.10852986193264019
10,460,0.05217391304347826,0.13964410603496497,0.13975784143449294
11,460,0.05652173913043478,0.17248875622800164,0.17242907408523184
12,460,0.06521739130434782,0.2101914873143453,0.20992626785672502
13,460,0.05434782608695652,0.25786970266883463,0.2570025613835969
14,460,0.06521739130434782,0.32561367847274314,0.3229538653725307
15,459,0.06318082788671024,0.493994056527016,0.47057917095861457
