vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display
0,1105,86,0.07782805429864253,-0.4727968441827269,-0.45104980356782587,-0.6140188028352481,-0.3731914543946649,1
1,1104,76,0.06884057971014493,-0.3237986751111869,-0.3226291032320373,-0.37318891867010373,-0.28110704573538525,2
2,1104,73,0.0661231884057971,-0.24659051648049496,-0.2460308379110806,-0.2810341100222597,-0.21602387724795039,3
3,1104,79,0.07155797101449275,-0.18901692699677325,-0.18879802052883699,-0.2159793160214268,-0.16390616682669154,4
4,1104,77,0.06974637681159421,-0.1433000418255789,-0.1431428392860792,-0.16388677056067583,-0.12315228994163921,5
5,1104,62,0.05615942028985507,-0.10348957332023152,-0.10325119440178734,-0.12313750264839177,-0.08527687081881617,6
6,1105,68,0.06153846153846154,-0.06763519411434944,-0.06761433664367911,-0.08525823385500271,-0.050715726912752356,7
7,1104,52,0.04710144927536232,-0.03359210500323241,-0.03354783598907371,-0.050713071657645714,-0.0163176925521507,8
8,1104,65,0.058876811594202896,0.0005668847067490657,0.0005507126732744621,-0.016205197014896044,0.01675458099243162,9
9,1104,70,0.06340579710144928,0.032815803396563564,0.03303513119378494,0.016760344794388465,0.049214158992318326,10
10,1104,61,0.0552536231884058,0.06592123939605286,0.06627914271247522,0.049244308371426196,0.08227573363845397,11
11,1104,77,0.06974637681159421,0.09962905844145586,0.09962262094196452,0.08233577245617339,0.11757513270643583,12
12,1104,60,0.05434782608695652,0.13533532647326688,0.13522426477783267,0.11773871010627678,0.15314409321307826,13
13,1105,73,0.0660633484162896,0.17221616203216267,0.17268899022405848,0.15317492769571206,0.19048759858670003,14
14,1104,63,0.057065217391304345,0.2114922333905864,0.21210644367212417,0.19052361957843844,0.2335052051840885,15
15,1104,73,0.0661231884057971,0.25681389286852857,0.25652439827690815,0.2335404420799218,0.2807517270173142,16
16,1104,75,0.06793478260869565,0.30631184887839735,0.3053650101001897,0.2807899959123768,0.3341079363118141,17
17,1104,72,0.06521739130434782,0.36523917922229465,0.36436616606689687,0.33413681520143945,0.3989288337171268,18
18,1104,63,0.057065217391304345,0.44388833893777874,0.4412148784064087,0.3989844074067065,0.49803537805292436,19
19,1104,75,0.06793478260869565,0.5828523632074447,0.5832055666548508,0.4980572237400257,0.6446750109667025,20
