vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,edge_interval
0,373,1,0.002680965147453083,-0.6507940349873199,-0.6672428951883281,-0.6672428951883281,-0.5877028510715293,1,-0.6672428951883281,-0.5866443321961337,-0.6269436136922308,"[-0.6672, -0.5866)"
1,208,0,0.0,-0.5429870065952012,-0.5391693040290683,-0.5861411065857218,-0.5073815917027586,2,-0.5866443321961337,-0.5060457692039393,-0.5463450507000365,"[-0.5866, -0.506)"
2,278,1,0.0035971223021582736,-0.46171621992841916,-0.46182710250277154,-0.5059546358904422,-0.42558166661301894,3,-0.5060457692039393,-0.4254472062117448,-0.46574648770784205,"[-0.506, -0.4254)"
3,547,2,0.003656307129798903,-0.38286801338018067,-0.37852742329146555,-0.42467014644273265,-0.3448534723804304,4,-0.4254472062117448,-0.3448486432195504,-0.3851479247156476,"[-0.4254, -0.3448)"
4,686,1,0.0014577259475218659,-0.29783868604563024,-0.29711811474698663,-0.34358881960206994,-0.2643424436000513,5,-0.3448486432195504,-0.26425008022735597,-0.30454936172345315,"[-0.3448, -0.2643)"
5,1159,4,0.003451251078515962,-0.22078489064769732,-0.21944324145506455,-0.26409037292771953,-0.18383690104606598,6,-0.26425008022735597,-0.1836515172351615,-0.22395079873125873,"[-0.2643, -0.1837)"
6,1618,8,0.004944375772558714,-0.14063286023604266,-0.13861663389738008,-0.18302065676641788,-0.10351127501962457,7,-0.1836515172351615,-0.10305295424296712,-0.1433522357390643,"[-0.1837, -0.1031)"
7,2102,10,0.004757373929590866,-0.060159943526112876,-0.05829375530613484,-0.10297323641112457,-0.022480859002083048,8,-0.10305295424296712,-0.022454391250772643,-0.06275367274686988,"[-0.1031, -0.02245)"
8,2378,22,0.009251471825063078,0.016817129205167872,0.015357735013466814,-0.022288795424396747,0.05796111588520359,9,-0.022454391250772643,0.058144171741421835,0.017844890245324596,"[-0.02245, 0.05814)"
9,2797,37,0.013228459063282088,0.09881702584645691,0.09981846652680369,0.05823250655814015,0.1386496798000805,10,0.058144171741421835,0.1387427347336162,0.09844345323751902,"[0.05814, 0.1387)"
10,2705,57,0.021072088724584104,0.17803916297063183,0.17818871428058686,0.13878513718565552,0.2192818875860277,11,0.1387427347336162,0.21934129772581068,0.17904201622971344,"[0.1387, 0.2193)"
11,2251,68,0.030208796090626388,0.2583352544214619,0.25886182113587713,0.21934409224050277,0.2996449647771667,12,0.21934129772581068,0.29993986071800516,0.2596405792219079,"[0.2193, 0.2999)"
12,1757,55,0.03130335799658509,0.340340426358123,0.341299871226588,0.3002969590929815,0.3803012182888791,13,0.29993986071800516,0.3805384237101995,0.34023914221410234,"[0.2999, 0.3805)"
13,1314,60,0.045662100456621,0.4188908188539686,0.419847359885013,0.3807204979069058,0.4605552572214317,14,0.3805384237101995,0.4611369867023939,0.4208377052062967,"[0.3805, 0.4611)"
14,815,74,0.09079754601226994,0.4989784831250756,0.4987643289637821,0.4611621081942505,0.5416481837141561,15,0.4611369867023939,0.5417355496945885,0.5014362681984912,"[0.4611, 0.5417)"
15,620,47,0.07580645161290323,0.5795067683345269,0.5794674868512832,0.5422520722171733,0.6205518144581654,16,0.5417355496945885,0.6223341126867828,0.5820348311906857,"[0.5417, 0.6223)"
16,402,37,0.09203980099502487,0.6641190202127546,0.6610598133930198,0.6228307235232076,0.7013312862136001,17,0.6223341126867828,0.7029326756789772,0.66263339418288,"[0.6223, 0.7029)"
17,261,41,0.15708812260536398,0.7389535167210755,0.7378035230410436,0.7029465151588862,0.7826005849577357,18,0.7029326756789772,0.7835312386711718,0.7432319571750745,"[0.7029, 0.7835)"
18,188,25,0.13297872340425532,0.8261788267392699,0.8304657125944053,0.7841309544303725,0.8640971951385916,19,0.7835312386711718,0.8641298016633662,0.823830520167269,"[0.7835, 0.8641)"
19,336,59,0.17559523809523808,0.9315586715711307,0.9447283646555604,0.8645810443944125,0.9447283646555604,20,0.8641298016633662,0.9447283646555604,0.9044290831594632,"[0.8641, 0.9447)"
