vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,edge_interval
0,408,4,0.00980392156862745,-0.4958654438556625,-0.5102635356618057,-0.5102635356618057,-0.45428750665522283,1,-0.5102635356618057,-0.4530338219584129,-0.4816486788101093,"[-0.5103, -0.453)"
1,218,4,0.01834862385321101,-0.4224438682021173,-0.4218996880638726,-0.450416556531668,-0.3958154182166476,2,-0.4530338219584129,-0.3958041082550201,-0.4244189651067165,"[-0.453, -0.3958)"
2,523,14,0.02676864244741874,-0.3655820987424279,-0.3649598799332796,-0.39523709487649666,-0.33975985983301543,3,-0.3958041082550201,-0.33857439455162724,-0.3671892514033237,"[-0.3958, -0.3386)"
3,854,36,0.04215456674473068,-0.30262142442602874,-0.2968472633252031,-0.3379750270254662,-0.2813503042961282,4,-0.33857439455162724,-0.28134468084823444,-0.30995953769993084,"[-0.3386, -0.2813)"
4,773,34,0.04398447606727038,-0.2530082917512019,-0.25013837087165364,-0.280934435603588,-0.2264076449978204,5,-0.28134468084823444,-0.22411496714484164,-0.25272982399653804,"[-0.2813, -0.2241)"
5,1266,62,0.04897314375987362,-0.19423427359562598,-0.1960916068987934,-0.22400540498669302,-0.1675423517838237,6,-0.22411496714484164,-0.16688525344144878,-0.1955001102931452,"[-0.2241, -0.1669)"
6,1501,84,0.05596269153897402,-0.13449527879458376,-0.13302319563089157,-0.16574969184178046,-0.10978926780706037,7,-0.16688525344144878,-0.10965553973805597,-0.13827039658975238,"[-0.1669, -0.1097)"
7,2123,87,0.04097974564295808,-0.08179708423229014,-0.08228113839152171,-0.10961001425544,-0.05263770172598393,8,-0.10965553973805597,-0.05242582603466317,-0.08104068288635957,"[-0.1097, -0.05243)"
8,1730,89,0.051445086705202314,-0.023944072657401214,-0.024787840317172398,-0.05084161459084596,0.004742468933782634,9,-0.05242582603466317,0.004803887668729634,-0.023810969182966768,"[-0.05243, 0.004804)"
9,2078,126,0.06063522617901829,0.032734999166716655,0.031292615257752766,0.0048837954520167814,0.06172367016383218,10,0.004803887668729634,0.06203360137212244,0.033418744520426036,"[0.004804, 0.06203)"
10,2041,119,0.0583047525722685,0.09055549089382003,0.08830921670989593,0.062384527500395956,0.11858079606581629,11,0.06203360137212244,0.11926331507551524,0.09064845822381884,"[0.06203, 0.1193)"
11,1882,119,0.06323060573857599,0.14864944795201718,0.14893729242539647,0.11970061002689913,0.17576164801880087,12,0.11926331507551524,0.17649302877890816,0.1478781719272117,"[0.1193, 0.1765)"
12,1509,138,0.09145129224652088,0.20623721033453737,0.20507407431974123,0.17683315189043766,0.23368230904945453,13,0.17649302877890816,0.23372274248230096,0.20510788563060456,"[0.1765, 0.2337)"
13,1282,97,0.07566302652106084,0.26031305522085024,0.2595611656036023,0.23389746889342952,0.2908067770593104,14,0.23372274248230096,0.29095245618569376,0.26233759933399736,"[0.2337, 0.291)"
14,1181,113,0.09568162574089754,0.3178650949553361,0.31991597905470825,0.2924865976924415,0.34629510453211015,15,0.29095245618569376,0.34818216988908657,0.31956731303739017,"[0.291, 0.3482)"
15,787,85,0.10800508259212198,0.3754678328431052,0.37413815760644853,0.3497189449111208,0.404239167084958,16,0.34818216988908657,0.40541188359247937,0.37679702674078297,"[0.3482, 0.4054)"
16,714,50,0.0700280112044818,0.43172374981490735,0.4333721802191849,0.4055906747847086,0.4614961325669477,17,0.40541188359247937,0.4626415972958722,0.4340267404441758,"[0.4054, 0.4626)"
17,386,40,0.10362694300518134,0.4885929545613262,0.4867987765136237,0.46428270841300573,0.5171399816364403,18,0.4626415972958722,0.519871310999265,0.4912564541475686,"[0.4626, 0.5199)"
18,385,36,0.09350649350649351,0.5442583551092586,0.5388392107307187,0.5233376149278135,0.5752830970310693,19,0.519871310999265,0.5771010247026578,0.5484861678509614,"[0.5199, 0.5771)"
19,442,63,0.1425339366515837,0.6200580181867582,0.6343307384060506,0.5781982525748621,0.6343307384060506,20,0.5771010247026578,0.6343307384060506,0.6057158815543542,"[0.5771, 0.6343)"
