vent,n,draft_rate,poolq_mean,poolq_median
0,320,0.003125,-0.49882141602413127,-0.510654766224674
1,194,0.020618556701030927,-0.42412464944688316,-0.42368353955857574
2,464,0.028017241379310345,-0.36768407357569766,-0.36587837906989673
3,710,0.04366197183098591,-0.30238238458315025,-0.2968472633252031
4,714,0.047619047619047616,-0.2539445767110651,-0.2520276423776977
5,1024,0.0498046875,-0.19459334273742593,-0.1960916068987934
6,1127,0.055900621118012424,-0.13687429210655327,-0.13594132490547903
7,1684,0.03978622327790974,-0.08285389225306325,-0.08356034023049431
8,1424,0.05056179775280899,-0.025174648221509097,-0.026740564433035196
9,1646,0.0637910085054678,0.031607441314311445,0.030068023290604026
10,1657,0.06155703077851539,0.08967584309752309,0.08830921670989593
11,1478,0.07239512855209743,0.14901054129664457,0.14910917104621038
12,1162,0.08605851979345955,0.20458075957450597,0.20476711290527325
13,1003,0.08873379860418744,0.2596678194669992,0.2595611656036023
14,920,0.09347826086956522,0.31668418888958166,0.31991597905470825
15,588,0.11054421768707483,0.37473428672836967,0.37413815760644853
16,575,0.07304347826086957,0.4320812495869189,0.4323062918954809
17,301,0.07973421926910298,0.4890782520532901,0.4870120655832323
18,340,0.09705882352941177,0.5442086300294349,0.5387754647821863
19,328,0.13414634146341464,0.6199812813280908,0.6330527233292021
