vent,n,draft_rate,poolq_mean,poolq_median
0,79,0.0,-0.5315074147484229,-0.5399027676789794
1,44,0.045454545454545456,-0.4341956676595643,-0.4355960219332788
2,44,0.022727272727272728,-0.3687365609407878,-0.3721124340943175
3,88,0.011363636363636364,-0.28096792309658647,-0.27348753381727736
4,162,0.012345679012345678,-0.21439196991387283,-0.2149845856065961
5,241,0.03319502074688797,-0.1509031239543606,-0.1514842989008018
6,391,0.023017902813299233,-0.07714713520806826,-0.0731573760842332
7,367,0.01907356948228883,-0.0032438599773444736,-0.003040406143984755
8,681,0.039647577092511016,0.06290236261754398,0.06150194640763454
9,681,0.032305433186490456,0.1321761243010705,0.13307829079608274
10,694,0.06628242074927954,0.20195745719885752,0.1991384791953532
11,653,0.08575803981623277,0.27353509262332126,0.2746649296454202
12,407,0.08845208845208845,0.3433449269708505,0.3421415056652692
13,358,0.09776536312849161,0.41263320794440234,0.41017732825052294
14,289,0.16262975778546712,0.48092127916804867,0.4778710034341617
15,221,0.18099547511312217,0.5538372308297047,0.5483578026732254
16,105,0.20952380952380953,0.6231604958702307,0.6153306959060924
17,60,0.23333333333333334,0.7047169764034114,0.7008142957499603
18,54,0.35185185185185186,0.7637908193344498,0.7542933315941652
19,101,0.2376237623762376,0.8608617013673787,0.8766137119294481
